,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
1,A01,-,407774,
1,A02,-,285859,
1,A03,-,266446,
1,A04,-,290274,
1,A05,-,270685,
1,A06,-,299888,
1,A07,-,491534,
1,A08,-,410351,
1,A09,-,410067,
1,A10,-,342890,
1,A11,-,401914,
1,A12,-,358661,
1,A13,-,267946,
1,A14,-,421747,
1,A15,-,210126,
1,A16,-,181668,
1,A17,-,197718,
1,A18,-,391900,
1,A19,-,197106,
1,A20,-,171610,
1,A21,-,211106,
1,A22,-,210239,
1,A23,-,303950,
1,A24,-,427982,
1,B01,-,321111,
1,B02,-,155166,
1,B03,-,254674,
1,B04,-,193285,
1,B05,-,237416,
1,B06,-,153326,
1,B07,-,86709,
1,B08,-,243138,
1,B09,-,145523,
1,B10,-,141026,
1,B11,-,132825,
1,B12,-,113979,
1,B13,-,350943,
1,B14,-,115596,
1,B15,-,83700,
1,B16,-,122907,
1,B17,-,129114,
1,B18,-,132294,
1,B19,-,119146,
1,B20,-,171745,
1,B21,-,105612,
1,B22,-,123179,
1,B23,-,204135,
1,B24,-,397556,
1,C01,-,256673,
1,C02,-,167154,
1,C03,-,164682,
1,C04,-,135118,
1,C05,-,118303,
1,C06,-,142711,
1,C07,-,280879,
1,C08,-,248786,
1,C09,-,215347,
1,C10,-,194858,
1,C11,-,170286,
1,C12,-,217676,
1,C13,-,169390,
1,C14,-,203827,
1,C15,-,137746,
1,C16,-,146557,
1,C17,-,131345,
1,C18,-,174184,
1,C19,-,131687,
1,C20,-,128186,
1,C21,-,126325,
1,C22,-,127816,
1,C23,-,181296,
1,C24,-,312865,
1,D01,-,238489,
1,D02,-,94407,
1,D03,-,157375,
1,D04,-,129620,
1,D05,-,113731,
1,D06,-,148401,
1,D07,-,106352,
1,D08,-,116662,
1,D09,-,127028,
1,D10,-,204382,
1,D11,-,123416,
1,D12,-,110165,
1,D13,-,179950,
1,D14,-,80209,
1,D15,-,147284,
1,D16,-,48215,
1,D17,-,129851,
1,D18,-,97952,
1,D19,-,155487,
1,D20,-,125704,
1,D21,-,97025,
1,D22,-,89559,
1,D23,-,163365,
1,D24,-,228906,
1,E01,-,279889,
1,E02,-,253644,
1,E03,-,123667,
1,E04,-,157646,
1,E05,-,168668,
1,E06,-,186156,
1,E07,-,213188,
1,E08,-,172816,
1,E09,-,182314,
1,E10,-,188443,
1,E11,-,175178,
1,E12,-,141781,
1,E13,-,151465,
1,E14,-,265253,
1,E15,-,210109,
1,E16,-,178855,
1,E17,-,180915,
1,E18,-,199164,
1,E19,-,131190,
1,E20,-,120929,
1,E21,-,152768,
1,E22,-,141854,
1,E23,-,134283,
1,E24,-,328433,
1,F01,-,344063,
1,F02,-,139444,
1,F03,-,190841,
1,F04,-,167919,
1,F05,-,195041,
1,F06,-,184711,
1,F07,-,155340,
1,F08,-,161748,
1,F09,-,62442,
1,F10,-,107576,
1,F11,-,203242,
1,F12,-,105156,
1,F13,-,159878,
1,F14,-,85452,
1,F15,-,133183,
1,F16,-,100211,
1,F17,-,154621,
1,F18,-,148327,
1,F19,-,191138,
1,F20,-,159672,
1,F21,-,159629,
1,F22,-,196428,
1,F23,-,204036,
1,F24,-,411241,
1,G01,-,348452,
1,G02,-,126646,
1,G03,-,143650,
1,G04,-,149951,
1,G05,-,130754,
1,G06,-,140452,
1,G07,-,148813,
1,G08,-,162856,
1,G09,-,182303,
1,G10,-,190746,
1,G11,-,178192,
1,G12,-,134579,
1,G13,-,214779,
1,G14,-,156081,
1,G15,-,222880,
1,G16,-,142161,
1,G17,-,134326,
1,G18,-,121509,
1,G19,-,145252,
1,G20,-,106833,
1,G21,-,114795,
1,G22,-,107656,
1,G23,-,124385,
1,G24,-,367356,
1,H01,-,175682,
1,H02,-,112352,
1,H03,-,142078,
1,H04,-,143390,
1,H05,-,122448,
1,H06,-,127237,
1,H07,-,84558,
1,H08,-,142181,
1,H09,-,91839,
1,H10,-,97210,
1,H11,-,124035,
1,H12,-,97054,
1,H13,-,138176,
1,H14,-,60355,
1,H15,-,104378,
1,H16,-,90167,
1,H17,-,101882,
1,H18,-,144571,
1,H19,-,129225,
1,H20,-,141230,
1,H21,-,89521,
1,H22,-,127378,
1,H23,-,82725,
1,H24,-,262468,
1,I01,-,336730,
1,I02,-,186567,
1,I03,-,226792,
1,I04,-,148757,
1,I05,-,200184,
1,I06,-,234458,
1,I07,-,254910,
1,I08,-,257296,
1,I09,-,307773,
1,I10,-,319621,
1,I11,-,244047,
1,I12,-,218525,
1,I13,-,189289,
1,I14,-,285045,
1,I15,-,217212,
1,I16,-,256520,
1,I17,-,193577,
1,I18,-,188293,
1,I19,-,186020,
1,I20,-,139407,
1,I21,-,206023,
1,I22,-,162753,
1,I23,-,170849,
1,I24,-,669085,
1,J01,-,115054,
1,J02,-,244308,
1,J03,-,175935,
1,J04,-,191350,
1,J05,-,132526,
1,J06,-,190516,
1,J07,-,211344,
1,J08,-,132344,
1,J09,-,130971,
1,J10,-,220218,
1,J11,-,200555,
1,J12,-,228431,
1,J13,-,132540,
1,J14,-,163103,
1,J15,-,135262,
1,J16,-,163140,
1,J17,-,184240,
1,J18,-,260833,
1,J19,-,152968,
1,J20,-,276255,
1,J21,-,71644,
1,J22,-,186018,
1,J23,-,171786,
1,J24,-,320413,
1,K01,-,347096,
1,K02,-,230455,
1,K03,-,189809,
1,K04,-,169786,
1,K05,-,137631,
1,K06,-,160151,
1,K07,-,215433,
1,K08,-,179608,
1,K09,-,225666,
1,K10,-,216706,
1,K11,-,177726,
1,K12,-,177595,
1,K13,-,213203,
1,K14,-,214288,
1,K15,-,154485,
1,K16,-,219599,
1,K17,-,178139,
1,K18,-,216465,
1,K19,-,170478,
1,K20,-,129893,
1,K21,-,190119,
1,K22,-,194247,
1,K23,-,206486,
1,K24,-,531738,
1,L01,-,261523,
1,L02,-,67084,
1,L03,-,165763,
1,L04,-,182313,
1,L05,-,165177,
1,L06,-,175082,
1,L07,-,134204,
1,L08,-,145412,
1,L09,-,172902,
1,L10,-,182871,
1,L11,-,117037,
1,L12,-,164672,
1,L13,-,35319,
1,L14,-,49794,
1,L15,-,160037,
1,L16,-,110523,
1,L17,-,208386,
1,L18,-,209681,
1,L19,-,161886,
1,L20,-,210887,
1,L21,-,100073,
1,L22,-,213906,
1,L23,-,122424,
1,L24,-,280215,
1,M01,-,310930,
1,M02,-,221686,
1,M03,-,169194,
1,M04,-,167330,
1,M05,-,173308,
1,M06,-,144372,
1,M07,-,222097,
1,M08,-,186417,
1,M09,-,192235,
1,M10,-,174496,
1,M11,-,230244,
1,M12,-,250202,
1,M13,-,178011,
1,M14,-,150854,
1,M15,-,167940,
1,M16,-,208744,
1,M17,-,172046,
1,M18,-,140538,
1,M19,-,199960,
1,M20,-,205678,
1,M21,-,173231,
1,M22,-,245007,
1,M23,-,299401,
1,M24,-,226812,
1,N01,-,297526,
1,N02,-,147860,
1,N03,-,172415,
1,N04,-,242210,
1,N05,-,150515,
1,N06,-,154892,
1,N07,-,175467,
1,N08,-,226940,
1,N09,-,242337,
1,N10,-,139685,
1,N11,-,257857,
1,N12,-,149177,
1,N13,-,177701,
1,N14,-,152379,
1,N15,-,291102,
1,N16,-,192707,
1,N17,-,162899,
1,N18,-,48628,
1,N19,-,150164,
1,N20,-,126899,
1,N21,-,151977,
1,N22,-,199169,
1,N23,-,274705,
1,N24,-,220975,
1,O01,-,256208,
1,O02,-,248227,
1,O03,-,263835,
1,O04,-,215506,
1,O05,-,204676,
1,O06,-,199726,
1,O07,-,394655,
1,O08,-,235725,
1,O09,-,157354,
1,O10,-,215725,
1,O11,-,160073,
1,O12,-,233563,
1,O13,-,211519,
1,O14,-,294653,
1,O15,-,202481,
1,O16,-,278119,
1,O17,-,240262,
1,O18,-,322875,
1,O19,-,197264,
1,O20,-,193722,
1,O21,-,146538,
1,O22,-,311526,
1,O23,-,147733,
1,O24,-,454089,
1,P01,-,406689,
1,P02,-,296594,
1,P03,-,349716,
1,P04,-,220874,
1,P05,-,159279,
1,P06,-,268133,
1,P07,-,420373,
1,P08,-,170905,
1,P09,-,251109,
1,P10,-,300059,
1,P11,-,298454,
1,P12,-,355056,
1,P13,-,354170,
1,P14,-,301400,
1,P15,-,218465,
1,P16,-,185823,
1,P17,-,288873,
1,P18,-,252140,
1,P19,-,351165,
1,P20,-,252522,
1,P21,-,226553,
1,P22,-,251494,
1,P23,-,284470,
1,P24,-,487528,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,A01,-,315356,
2,A02,-,235338,
2,A03,-,248040,
2,A04,-,262639,
2,A05,-,276098,
2,A06,-,302827,
2,A07,-,344410,
2,A08,-,206633,
2,A09,-,221141,
2,A10,-,202700,
2,A11,-,245231,
2,A12,-,307223,
2,A13,-,276896,
2,A14,-,388647,
2,A15,-,189395,
2,A16,-,278386,
2,A17,-,228925,
2,A18,-,271416,
2,A19,-,237868,
2,A20,-,276861,
2,A21,-,225264,
2,A22,-,268282,
2,A23,-,273541,
2,A24,-,384342,
2,B01,-,268168,
2,B02,-,210511,
2,B03,-,234338,
2,B04,-,155502,
2,B05,-,159865,
2,B06,-,138437,
2,B07,-,77973,
2,B08,-,155899,
2,B09,-,108888,
2,B10,-,146604,
2,B11,-,57938,
2,B12,-,64237,
2,B13,-,140958,
2,B14,-,120699,
2,B15,-,86793,
2,B16,-,139217,
2,B17,-,127812,
2,B18,-,91511,
2,B19,-,116181,
2,B20,-,135696,
2,B21,-,125947,
2,B22,-,117661,
2,B23,-,161888,
2,B24,-,225775,
2,C01,-,249543,
2,C02,-,188640,
2,C03,-,186832,
2,C04,-,173157,
2,C05,-,174702,
2,C06,-,163658,
2,C07,-,167198,
2,C08,-,141223,
2,C09,-,180378,
2,C10,-,136345,
2,C11,-,146942,
2,C12,-,158686,
2,C13,-,157261,
