,,,,NORM 2 V MEAN,,,,,,,,
,V_ pl 1,V pl2,CBD _Pl1,NORM_V_ pl 1,NORM_V_ pl 2,AVG NORM_V,STD DEV,PLUS 1 STDEV,MINUS 1 STD DEV,NORM V _CBD _Pl1,,
A01,634297,509041,537775,2.432820021,1.952405792,2.192612906,0.339704159,2.532317066,1.852908747,2.062613865,,
A02,455189,408051,384856,1.745858663,1.565062806,1.655460734,0.127841977,1.783302711,1.527618757,1.476099338,,
A03,427703,411692,365009,1.640437242,1.579027711,1.609732477,0.043423096,1.653155573,1.566309381,1.399976987,,
A04,459349,429487,237878,1.761814172,1.647279701,1.704546936,0.080988101,1.785535038,1.623558835,0.912371272,,
A05,470347,450416,290608,1.803996548,1.727552018,1.765774283,0.054054445,1.819828729,1.711719838,1.114615016,,
A06,482374,494727,655196,1.850125611,1.897505034,1.873815323,0.033502311,1.907317634,1.840313012,2.512977275,,
A07,662283,576307,375931,2.540159172,2.210401764,2.375280468,0.233173699,2.608454167,2.142106769,1.441867868,,
A08,665424,366065,667523,2.552206348,1.404027232,1.97811679,0.811885239,2.790002029,1.166231551,2.560256976,,
A09,674843,386990,669625,2.588332534,1.484284207,2.036308371,0.780680059,2.81698843,1.255628312,2.56831911,,
A10,530800,358163,366785,2.03586154,1.373719436,1.704790488,0.468205172,2.17299566,1.236585316,1.406788762,,
A11,652904,409620,321663,2.504186403,1.571080641,2.037633522,0.659805412,2.697438934,1.377828109,1.233725189,,
A12,551047,483549,424506,2.113518075,1.854632275,1.984075175,0.183059904,2.167135079,1.801015271,1.62817528,,
A13,420123,453302,333923,1.611364464,1.738621153,1.674992809,0.089984067,1.764976876,1.585008741,1.280747914,,
A14,659146,665439,346021,2.528127337,2.55226388,2.540195608,0.017067113,2.557262721,2.523128496,1.327149295,,
A15,375084,343944,443578,1.438619235,1.319183047,1.378901141,0.084454138,1.463355279,1.294447003,1.701325151,,
A16,337451,459841,332290,1.294279413,1.763701218,1.528990315,0.331931341,1.860921657,1.197058974,1.27448461,,
A17,355683,387663,295637,1.364207498,1.486865471,1.425536485,0.086732284,1.512268769,1.3388042,1.133903538,,
A18,667000,446945,359895,2.558251031,1.714239141,2.136245086,0.596806531,2.733051617,1.539438555,1.380362451,,
A19,360703,399848,356194,1.383461502,1.533600537,1.458531019,0.10616433,1.564695349,1.352366689,1.366167418,,
A20,319887,435801,402791,1.226913415,1.671496788,1.449205101,0.314367918,1.763573019,1.134837183,1.544888292,,
A21,376666,378968,414170,1.444686931,1.453516157,1.449101544,0.006243206,1.455344749,1.442858338,1.588531978,,
A22,362180,427523,339745,1.389126474,1.63974686,1.514436667,0.177215374,1.691652041,1.337221293,1.303077956,,
A23,490300,430369,416915,1.880525458,1.650662576,1.765594017,0.162537603,1.92813162,1.603056414,1.599060313,,
A24,648779,575911,648158,2.488365136,2.208882923,2.348624029,0.197623768,2.546247797,2.151000261,2.485983316,,
B01,521746,440386,432953,2.001135296,1.689082366,1.845108831,0.220654742,2.065763574,1.624454089,1.660573401,,
B02,272492,361012,203491,1.045131844,1.384646658,1.214889251,0.240073228,1.454962479,0.974816024,0.78048135,,
B03,417448,376312,272608,1.601104612,1.443329178,1.522216895,0.111564079,1.633780974,1.410652816,1.045576757,,
B04,322072,264177,251567,1.235293892,1.013240004,1.124266948,0.15701581,1.281282758,0.967251138,0.964874868,,
B05,388994,262310,195177,1.491970467,1.006079202,1.249024835,0.343577008,1.592601843,0.905447826,0.748593345,,
B06,253498,225148,201419,0.972281139,0.863545882,0.91791351,0.076887438,0.994800948,0.841026073,0.772534279,,
B07,141090,123186,125328,0.541144884,0.47247483,0.506809857,0.048557061,0.555366918,0.458252796,0.480690383,,
B08,385524,254811,354675,1.478661425,0.977317097,1.227989261,0.354503974,1.582493235,0.873485286,1.360341356,,
B09,236924,179561,394661,0.908712245,0.688698821,0.798705533,0.155572984,0.954278517,0.643132549,1.513706012,,
B10,239222,247364,387882,0.917526129,0.948754435,0.933140282,0.022081747,0.955222029,0.911058535,1.487705437,,
B11,212885,79280,173900,0.81651165,0.304075175,0.560293413,0.362347307,0.922640719,0.197946106,0.666986288,,
B12,185728,92588,228021,0.712352095,0.355117461,0.533734778,0.252603032,0.78633781,0.281131746,0.874565155,,
B13,580106,230303,225704,2.224972672,0.883317672,1.554145172,0.948693349,2.502838521,0.605451823,0.865678397,,
B14,181457,211105,248995,0.695970851,0.809684534,0.752827692,0.080407716,0.833235408,0.672419976,0.955010068,,
B15,138582,142531,297372,0.531525554,0.546671781,0.539098667,0.01071,0.549808667,0.528388667,1.140558059,,
B16,204771,245831,227450,0.785390737,0.942874676,0.864132707,0.111357961,0.975490668,0.752774746,0.872375108,,
B17,219707,207575,195720,0.84267715,0.796145364,0.819411257,0.032902942,0.852314199,0.786508315,0.750676,,
B18,219672,147974,307086,0.842542909,0.567548183,0.705045546,0.194450636,0.899496182,0.51059491,1.177815706,,
B19,200481,204674,357884,0.768936619,0.785018698,0.776977658,0.011371747,0.788349405,0.765605911,1.372649343,,
B20,288576,240797,239981,1.106821364,0.923566977,1.01519417,0.12958042,1.14477459,0.885613751,0.920437242,,
B21,178199,219176,218751,0.683474926,0.840640522,0.762057724,0.111132859,0.873190582,0.650924865,0.839010452,,
B22,215648,210708,233323,0.827109023,0.808161856,0.81763544,0.01339767,0.83103311,0.80423777,0.894900758,,
B23,361844,288670,335329,1.38783776,1.107181897,1.247509828,0.198453664,1.445963493,1.049056164,1.28614057,,
B24,599155,405941,503202,2.298034327,1.556969988,1.927502157,0.52401162,2.451513777,1.403490537,1.930010548,,
C01,440874,422506,410766,1.69095407,1.620504363,1.655729217,0.049815466,1.705544683,1.605913751,1.575476076,,
C02,263499,315489,194397,1.010639563,1.210045067,1.110342315,0.141000984,1.251343299,0.969341331,0.745601688,,
C03,253625,291975,276646,0.972768242,1.119858088,1.046313165,0.104008227,1.150321392,0.942304938,1.06106434,,
C04,210601,277394,204725,0.807751462,1.063933263,0.935842363,0.181147889,1.116990251,0.754694474,0.785214306,,
C05,184448,275286,233693,0.707442708,1.055848116,0.881645412,0.246359827,1.128005238,0.635285585,0.896319877,,
C06,223871,261424,182085,0.858648001,1.002680986,0.930664493,0.1018467,1.032511194,0.828817793,0.698379519,,
C07,439417,267022,335969,1.685365807,1.024151884,1.354758846,0.467548849,1.822307694,0.887209997,1.288595263,,
C08,386886,225062,249326,1.48388532,0.863216032,1.173550676,0.438879462,1.612430138,0.734671214,0.956279605,,
C09,341060,277024,342315,1.308121584,1.062514143,1.185317864,0.173670687,1.358988551,1.011647177,1.312935085,,
C10,304573,209420,255567,1.168177198,0.803221785,0.985699492,0.258062447,1.243761939,0.727637045,0.980216703,,
C11,263221,227363,232310,1.009573305,0.872041423,0.940807364,0.097249727,1.038057091,0.843557638,0.891015438,,
C12,330036,246449,390860,1.265839486,0.94524499,1.105542238,0.226694542,1.33223678,0.878847696,1.499127433,,
C13,268328,239966,208416,1.029160993,0.92037971,0.974770352,0.076919983,1.051690335,0.897850369,0.799370985,,
C14,321753,306595,229316,1.234070381,1.175932496,1.205001438,0.041109693,1.246111131,1.163891746,0.879532074,,
C15,207958,262334,168038,0.797614345,1.006171253,0.901892799,0.147472004,1.049364803,0.754420795,0.644502829,,
C16,228937,344353,204531,0.878078435,1.32075175,1.099415093,0.313017303,1.412432395,0.78639779,0.784470227,,
C17,205120,203203,187054,0.786729312,0.779376738,0.783053025,0.005199055,0.788252081,0.77785397,0.717437914,,
C18,278235,244347,202587,1.067158884,0.937182855,1.00217087,0.091906931,1.094077801,0.910263939,0.777014095,,
C19,208944,205952,203405,0.801396107,0.789920414,0.795658261,0.00811454,0.803772801,0.78754372,0.780151501,,
C20,203115,295017,145809,0.779039218,1.131525554,0.955282386,0.249245479,1.204527864,0.706036907,0.559244415,,
C21,198946,212949,175910,0.76304919,0.81675712,0.789903155,0.037977241,0.827880396,0.751925913,0.67469556,,
C22,214197,282610,209251,0.821543772,1.083939016,0.952741394,0.185541456,1.138282851,0.767199938,0.802573593,,
C23,305451,287485,250722,1.171544731,1.102636878,1.137090804,0.04872521,1.185816015,1.088365594,0.961633905,,
C24,476193,485565,472218,1.82641864,1.86236456,1.8443916,0.025417604,1.869809204,1.818973997,1.811172692,,
D01,416710,394098,338850,1.598274044,1.511546649,1.554910346,0.061325529,1.616235875,1.493584817,1.29964522,,
D02,155253,267876,174870,0.595466488,1.027427366,0.811446927,0.305442466,1.116889393,0.506004461,0.670706683,,
D03,247667,284809,163698,0.949916579,1.09237319,1.021144884,0.100732036,1.12187692,0.920412849,0.627856937,,
D04,193184,171273,221205,0.740949276,0.656910538,0.698929907,0.059424362,0.758354269,0.639505545,0.848422668,,
D05,170176,168875,190660,0.65270304,0.647713108,0.650208074,0.003528415,0.653736488,0.646679659,0.731268578,,
D06,225333,128107,157400,0.864255442,0.491349123,0.677802282,0.263684587,0.941486869,0.414117695,0.603701218,,
D07,159095,149526,134021,0.61020232,0.573500815,0.591851568,0.025951883,0.617803451,0.565899684,0.514032026,,
