,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
1,A01,-,291306,
1,A02,-,280264,
1,A03,-,189289,
1,A04,-,192749,
1,A05,-,175635,
1,A06,-,212710,
1,A07,-,170487,
1,A08,-,188604,
1,A09,-,204279,
1,A10,-,221216,
1,A11,-,211448,
1,A12,-,206354,
1,A13,-,247455,
1,A14,-,226037,
1,A15,-,213058,
1,A16,-,192611,
1,A17,-,167948,
1,A18,-,187603,
1,A19,-,223654,
1,A20,-,188674,
1,A21,-,188729,
1,A22,-,264289,
1,A23,-,193335,
1,A24,-,323592,
1,B01,-,277125,
1,B02,-,150829,
1,B03,-,122278,
1,B04,-,130838,
1,B05,-,116902,
1,B06,-,103257,
1,B07,-,50590,
1,B08,-,126759,
1,B09,-,149356,
1,B10,-,151058,
1,B11,-,79091,
1,B12,-,76849,
1,B13,-,137851,
1,B14,-,154133,
1,B15,-,116408,
1,B16,-,147880,
1,B17,-,132771,
1,B18,-,112652,
1,B19,-,98766,
1,B20,-,131921,
1,B21,-,134221,
1,B22,-,139025,
1,B23,-,184478,
1,B24,-,242301,
1,C01,-,261206,
1,C02,-,149237,
1,C03,-,146654,
1,C04,-,143323,
1,C05,-,170447,
1,C06,-,146351,
1,C07,-,123507,
1,C08,-,108731,
1,C09,-,140523,
1,C10,-,175262,
1,C11,-,119973,
1,C12,-,145950,
1,C13,-,150058,
1,C14,-,142638,
1,C15,-,140963,
1,C16,-,127960,
1,C17,-,119679,
1,C18,-,148434,
1,C19,-,142579,
1,C20,-,144181,
1,C21,-,130348,
1,C22,-,155118,
1,C23,-,172820,
1,C24,-,292133,
1,D01,-,333900,
1,D02,-,129156,
1,D03,-,125184,
1,D04,-,115093,
1,D05,-,73684,
1,D06,-,75595,
1,D07,-,75697,
1,D08,-,45376,
1,D09,-,113608,
1,D10,-,118246,
1,D11,-,129699,
1,D12,-,99338,
1,D13,-,115020,
1,D14,-,82555,
1,D15,-,128616,
1,D16,-,45666,
1,D17,-,54189,
1,D18,-,129017,
1,D19,-,121956,
1,D20,-,73070,
1,D21,-,114734,
1,D22,-,83513,
1,D23,-,148480,
1,D24,-,312479,
1,E01,-,217141,
1,E02,-,147222,
1,E03,-,120218,
1,E04,-,157349,
1,E05,-,124543,
1,E06,-,136090,
1,E07,-,137601,
1,E08,-,156865,
1,E09,-,139234,
1,E10,-,166718,
1,E11,-,167977,
1,E12,-,155262,
1,E13,-,152155,
1,E14,-,166054,
1,E15,-,145901,
1,E16,-,160478,
1,E17,-,148139,
1,E18,-,135737,
1,E19,-,150509,
1,E20,-,146362,
1,E21,-,136813,
1,E22,-,171718,
1,E23,-,162322,
1,E24,-,361089,
1,F01,-,268930,
1,F02,-,195800,
1,F03,-,142247,
1,F04,-,133809,
1,F05,-,154233,
1,F06,-,135829,
1,F07,-,164024,
1,F08,-,91858,
1,F09,-,75821,
1,F10,-,74899,
1,F11,-,139605,
1,F12,-,140927,
1,F13,-,160121,
1,F14,-,40273,
1,F15,-,202474,
1,F16,-,103829,
1,F17,-,161073,
1,F18,-,147052,
1,F19,-,153090,
1,F20,-,121961,
1,F21,-,125688,
1,F22,-,100147,
1,F23,-,211471,
1,F24,-,247943,
1,G01,-,285447,
1,G02,-,128374,
1,G03,-,122506,
1,G04,-,100603,
1,G05,-,117295,
1,G06,-,143715,
1,G07,-,124397,
1,G08,-,131586,
1,G09,-,129514,
1,G10,-,141784,
1,G11,-,136240,
1,G12,-,169253,
1,G13,-,143262,
1,G14,-,121390,
1,G15,-,126236,
1,G16,-,122101,
1,G17,-,145625,
1,G18,-,132598,
1,G19,-,127339,
1,G20,-,123723,
1,G21,-,128427,
1,G22,-,115023,
1,G23,-,164093,
1,G24,-,219077,
1,H01,-,167424,
1,H02,-,62008,
1,H03,-,108373,
1,H04,-,118749,
1,H05,-,68753,
1,H06,-,96680,
1,H07,-,69503,
1,H08,-,97688,
1,H09,-,90904,
1,H10,-,106314,
1,H11,-,118773,
1,H12,-,122159,
1,H13,-,55976,
1,H14,-,62119,
1,H15,-,85828,
1,H16,-,67216,
1,H17,-,92079,
1,H18,-,119709,
1,H19,-,99242,
1,H20,-,101393,
1,H21,-,59200,
1,H22,-,129716,
1,H23,-,57862,
1,H24,-,154453,
1,I01,-,333061,
1,I02,-,263276,
1,I03,-,217069,
1,I04,-,149035,
1,I05,-,125863,
1,I06,-,145947,
1,I07,-,154105,
1,I08,-,208659,
1,I09,-,186751,
1,I10,-,248282,
1,I11,-,209895,
1,I12,-,159938,
1,I13,-,231458,
1,I14,-,171675,
1,I15,-,119133,
1,I16,-,135132,
1,I17,-,197437,
1,I18,-,210760,
1,I19,-,145861,
1,I20,-,139749,
1,I21,-,151952,
1,I22,-,137377,
1,I23,-,158547,
1,I24,-,233085,
1,J01,-,78429,
1,J02,-,169695,
1,J03,-,171666,
1,J04,-,149018,
1,J05,-,127702,
1,J06,-,154302,
1,J07,-,141225,
1,J08,-,54299,
1,J09,-,84418,
1,J10,-,125362,
1,J11,-,153028,
1,J12,-,142270,
1,J13,-,135464,
1,J14,-,182236,
1,J15,-,198362,
1,J16,-,122292,
1,J17,-,238567,
1,J18,-,118734,
1,J19,-,116598,
1,J20,-,142106,
1,J21,-,104445,
1,J22,-,173767,
1,J23,-,117671,
1,J24,-,67419,
1,K01,-,299174,
1,K02,-,169764,
1,K03,-,178621,
1,K04,-,137470,
1,K05,-,129723,
1,K06,-,167465,
1,K07,-,173057,
1,K08,-,170598,
1,K09,-,183849,
1,K10,-,206573,
1,K11,-,175337,
1,K12,-,125770,
1,K13,-,157323,
1,K14,-,185179,
1,K15,-,143523,
1,K16,-,188419,
1,K17,-,184350,
1,K18,-,173011,
1,K19,-,141403,
1,K20,-,132838,
1,K21,-,199014,
1,K22,-,142141,
1,K23,-,188130,
1,K24,-,371081,
1,L01,-,194796,
1,L02,-,85266,
1,L03,-,123974,
1,L04,-,158315,
1,L05,-,169936,
1,L06,-,141548,
1,L07,-,105242,
1,L08,-,78981,
1,L09,-,100182,
1,L10,-,106456,
1,L11,-,52210,
1,L12,-,159189,
1,L13,-,38105,
1,L14,-,80142,
1,L15,-,153099,
1,L16,-,54315,
1,L17,-,184187,
1,L18,-,171589,
1,L19,-,169809,
1,L20,-,148073,
1,L21,-,79419,
1,L22,-,94742,
1,L23,-,72670,
1,L24,-,178500,
1,M01,-,253836,
1,M02,-,164218,
1,M03,-,189075,
1,M04,-,123906,
1,M05,-,138763,
1,M06,-,156785,
1,M07,-,162213,
1,M08,-,161795,
1,M09,-,180550,
1,M10,-,173623,
1,M11,-,192500,
1,M12,-,168747,
1,M13,-,215900,
1,M14,-,169305,
1,M15,-,174645,
1,M16,-,134232,
1,M17,-,174939,
1,M18,-,165535,
1,M19,-,131228,
1,M20,-,148563,
1,M21,-,160023,
1,M22,-,144081,
1,M23,-,177311,
1,M24,-,211732,
1,N01,-,269290,
1,N02,-,244480,
1,N03,-,187376,
1,N04,-,124035,
1,N05,-,158614,
1,N06,-,142759,
1,N07,-,129226,
1,N08,-,103162,
1,N09,-,119711,
1,N10,-,122377,
1,N11,-,191758,
1,N12,-,160093,
1,N13,-,101572,
1,N14,-,162487,
1,N15,-,148367,
1,N16,-,136533,
1,N17,-,153378,
1,N18,-,39190,
1,N19,-,150402,
1,N20,-,156749,
1,N21,-,172773,
1,N22,-,106873,
1,N23,-,199670,
1,N24,-,274522,
1,O01,-,337395,
1,O02,-,233390,
1,O03,-,182477,
1,O04,-,139509,
1,O05,-,144092,
1,O06,-,171126,
1,O07,-,197416,
1,O08,-,180846,
1,O09,-,168561,
1,O10,-,217255,
1,O11,-,202192,
1,O12,-,218009,
1,O13,-,153118,
1,O14,-,221019,
1,O15,-,178086,
1,O16,-,195356,
1,O17,-,249869,
1,O18,-,234971,
1,O19,-,197560,
1,O20,-,227728,
1,O21,-,186677,
1,O22,-,253105,
1,O23,-,286636,
1,O24,-,248706,
1,P01,-,337433,
1,P02,-,284547,
1,P03,-,217065,
1,P04,-,170634,
1,P05,-,313069,
1,P06,-,200410,
1,P07,-,211720,
1,P08,-,250595,
1,P09,-,204783,
1,P10,-,250514,
1,P11,-,244221,
1,P12,-,296725,
1,P13,-,306511,
1,P14,-,126302,
1,P15,-,346415,
1,P16,-,278688,
1,P17,-,319503,
1,P18,-,283015,
1,P19,-,291086,
1,P20,-,298688,
1,P21,-,319768,
1,P22,-,350855,
1,P23,-,394269,
1,P24,-,343727,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,A01,-,247989,
2,A02,-,280460,
2,A03,-,233188,
2,A04,-,246264,
2,A05,-,253390,
2,A06,-,222032,
2,A07,-,203269,
2,A08,-,236168,
2,A09,-,240457,
2,A10,-,226263,
2,A11,-,275314,
2,A12,-,264958,
2,A13,-,319142,
2,A14,-,230394,
2,A15,-,252922,
2,A16,-,205279,
2,A17,-,237490,
2,A18,-,242705,
2,A19,-,227421,
2,A20,-,191312,
2,A21,-,213000,
2,A22,-,255740,
2,A23,-,212369,
2,A24,-,227986,
2,B01,-,297366,
2,B02,-,227774,
2,B03,-,122340,
2,B04,-,137810,
2,B05,-,147785,
2,B06,-,110111,
2,B07,-,49484,
2,B08,-,129771,
2,B09,-,181639,
2,B10,-,145966,
2,B11,-,99260,
2,B12,-,99559,
2,B13,-,142357,
2,B14,-,143608,
2,B15,-,136561,
2,B16,-,122416,
2,B17,-,140824,
2,B18,-,150197,
2,B19,-,129652,
2,B20,-,143094,
2,B21,-,125475,
2,B22,-,120314,
2,B23,-,167025,
2,B24,-,245070,
2,C01,-,226067,
2,C02,-,123376,
2,C03,-,150364,
2,C04,-,132757,
2,C05,-,123748,
2,C06,-,138457,
2,C07,-,177330,
2,C08,-,145597,
2,C09,-,162015,
2,C10,-,154870,
2,C11,-,132613,
2,C12,-,162663,
2,C13,-,155597,
