,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
1,A01,-,493015,
1,A02,-,457862,
1,A03,-,320310,
1,A04,-,336928,
1,A05,-,317393,
1,A06,-,370472,
1,A07,-,344787,
1,A08,-,349642,
1,A09,-,346428,
1,A10,-,378199,
1,A11,-,358851,
1,A12,-,366737,
1,A13,-,408998,
1,A14,-,392036,
1,A15,-,376675,
1,A16,-,346691,
1,A17,-,313713,
1,A18,-,338620,
1,A19,-,387501,
1,A20,-,332087,
1,A21,-,337835,
1,A22,-,440422,
1,A23,-,340965,
1,A24,-,499035,
1,B01,-,446996,
1,B02,-,265773,
1,B03,-,211171,
1,B04,-,225245,
1,B05,-,199042,
1,B06,-,170870,
1,B07,-,62565,
1,B08,-,219526,
1,B09,-,265975,
1,B10,-,254017,
1,B11,-,127910,
1,B12,-,126304,
1,B13,-,236529,
1,B14,-,277128,
1,B15,-,193655,
1,B16,-,251849,
1,B17,-,230752,
1,B18,-,194594,
1,B19,-,168916,
1,B20,-,233106,
1,B21,-,235318,
1,B22,-,255128,
1,B23,-,350269,
1,B24,-,409337,
1,C01,-,431688,
1,C02,-,248961,
1,C03,-,250059,
1,C04,-,236738,
1,C05,-,277120,
1,C06,-,241169,
1,C07,-,210815,
1,C08,-,172534,
1,C09,-,221913,
1,C10,-,280138,
1,C11,-,190638,
1,C12,-,237627,
1,C13,-,234560,
1,C14,-,224350,
1,C15,-,218780,
1,C16,-,202385,
1,C17,-,188249,
1,C18,-,235821,
1,C19,-,224347,
1,C20,-,230227,
1,C21,-,211859,
1,C22,-,256790,
1,C23,-,300424,
1,C24,-,461339,
1,D01,-,510344,
1,D02,-,213151,
1,D03,-,195522,
1,D04,-,178869,
1,D05,-,112844,
1,D06,-,113009,
1,D07,-,118207,
1,D08,-,52157,
1,D09,-,175384,
1,D10,-,177874,
1,D11,-,200471,
1,D12,-,154012,
1,D13,-,175256,
1,D14,-,122600,
1,D15,-,196392,
1,D16,-,54219,
1,D17,-,71497,
1,D18,-,196205,
1,D19,-,188010,
1,D20,-,110859,
1,D21,-,178297,
1,D22,-,132856,
1,D23,-,249787,
1,D24,-,528411,
1,E01,-,368936,
1,E02,-,240422,
1,E03,-,191945,
1,E04,-,244134,
1,E05,-,196100,
1,E06,-,216172,
1,E07,-,216876,
1,E08,-,246415,
1,E09,-,210697,
1,E10,-,257056,
1,E11,-,253710,
1,E12,-,242923,
1,E13,-,225730,
1,E14,-,259450,
1,E15,-,225329,
1,E16,-,253406,
1,E17,-,221955,
1,E18,-,208726,
1,E19,-,229435,
1,E20,-,223667,
1,E21,-,212438,
1,E22,-,276768,
1,E23,-,264405,
1,E24,-,461243,
1,F01,-,354360,
1,F02,-,306469,
1,F03,-,279736,
1,F04,-,202058,
1,F05,-,231064,
1,F06,-,208278,
1,F07,-,254426,
1,F08,-,137992,
1,F09,-,118478,
1,F10,-,111487,
1,F11,-,216818,
1,F12,-,206079,
1,F13,-,245643,
1,F14,-,40466,
1,F15,-,385842,
1,F16,-,154874,
1,F17,-,345436,
1,F18,-,222042,
1,F19,-,260600,
1,F20,-,179803,
1,F21,-,221791,
1,F22,-,158689,
1,F23,-,361150,
1,F24,-,416141,
1,G01,-,445514,
1,G02,-,200978,
1,G03,-,187422,
1,G04,-,148299,
1,G05,-,172449,
1,G06,-,211695,
1,G07,-,187372,
1,G08,-,195944,
1,G09,-,190368,
1,G10,-,206223,
1,G11,-,199780,
1,G12,-,242322,
1,G13,-,208136,
1,G14,-,177365,
1,G15,-,184618,
1,G16,-,179901,
1,G17,-,211961,
1,G18,-,194264,
1,G19,-,185003,
1,G20,-,186034,
1,G21,-,190468,
1,G22,-,179090,
1,G23,-,264198,
1,G24,-,359599,
1,H01,-,278414,
1,H02,-,87544,
1,H03,-,165291,
1,H04,-,175889,
1,H05,-,98377,
1,H06,-,140625,
1,H07,-,98715,
1,H08,-,141888,
1,H09,-,133592,
1,H10,-,156765,
1,H11,-,176505,
1,H12,-,177153,
1,H13,-,71112,
1,H14,-,83227,
1,H15,-,121340,
1,H16,-,91143,
1,H17,-,135888,
1,H18,-,176843,
1,H19,-,150193,
1,H20,-,150707,
1,H21,-,82829,
1,H22,-,205566,
1,H23,-,79969,
1,H24,-,256520,
1,I01,-,509438,
1,I02,-,395782,
1,I03,-,317692,
1,I04,-,223218,
1,I05,-,184356,
1,I06,-,214379,
1,I07,-,226999,
1,I08,-,302093,
1,I09,-,269249,
1,I10,-,354235,
1,I11,-,303560,
1,I12,-,243636,
1,I13,-,326234,
1,I14,-,258095,
1,I15,-,180487,
1,I16,-,205394,
1,I17,-,281097,
1,I18,-,297336,
1,I19,-,211412,
1,I20,-,225223,
1,I21,-,227935,
1,I22,-,210537,
1,I23,-,252061,
1,I24,-,373273,
1,J01,-,108435,
1,J02,-,269299,
1,J03,-,259942,
1,J04,-,225840,
1,J05,-,188606,
1,J06,-,228255,
1,J07,-,212495,
1,J08,-,69693,
1,J09,-,121522,
1,J10,-,187047,
1,J11,-,227555,
1,J12,-,211396,
1,J13,-,204202,
1,J14,-,267339,
1,J15,-,348575,
1,J16,-,185620,
1,J17,-,330651,
1,J18,-,180965,
1,J19,-,171264,
1,J20,-,212237,
1,J21,-,184271,
1,J22,-,252063,
1,J23,-,151107,
1,J24,-,99127,
1,K01,-,448717,
1,K02,-,265044,
1,K03,-,259306,
1,K04,-,200405,
1,K05,-,187856,
1,K06,-,232163,
1,K07,-,241693,
1,K08,-,244705,
1,K09,-,249590,
1,K10,-,284831,
1,K11,-,251229,
1,K12,-,193615,
1,K13,-,227633,
1,K14,-,269026,
1,K15,-,206544,
1,K16,-,262135,
1,K17,-,266507,
1,K18,-,249029,
1,K19,-,207546,
1,K20,-,197663,
1,K21,-,282898,
1,K22,-,219128,
1,K23,-,294745,
1,K24,-,557668,
1,L01,-,307198,
1,L02,-,128738,
1,L03,-,185819,
1,L04,-,230373,
1,L05,-,243733,
1,L06,-,203486,
1,L07,-,159903,
1,L08,-,118715,
1,L09,-,150302,
1,L10,-,156412,
1,L11,-,66425,
1,L12,-,229058,
1,L13,-,38198,
1,L14,-,114186,
1,L15,-,224852,
1,L16,-,73703,
1,L17,-,268995,
1,L18,-,255070,
1,L19,-,247395,
1,L20,-,219345,
1,L21,-,117093,
1,L22,-,156293,
1,L23,-,106637,
1,L24,-,301666,
1,M01,-,400189,
1,M02,-,254807,
1,M03,-,289084,
1,M04,-,187124,
1,M05,-,208026,
1,M06,-,228371,
1,M07,-,236096,
1,M08,-,236792,
1,M09,-,260537,
1,M10,-,258934,
1,M11,-,287045,
1,M12,-,256424,
1,M13,-,312632,
1,M14,-,250733,
1,M15,-,259008,
1,M16,-,204690,
1,M17,-,257595,
1,M18,-,245424,
1,M19,-,204137,
1,M20,-,223562,
1,M21,-,241207,
1,M22,-,224420,
1,M23,-,281919,
1,M24,-,355132,
1,N01,-,423696,
1,N02,-,377152,
1,N03,-,281743,
1,N04,-,186035,
1,N05,-,236594,
1,N06,-,214926,
1,N07,-,193763,
1,N08,-,161060,
1,N09,-,187329,
1,N10,-,186258,
1,N11,-,285723,
1,N12,-,245414,
1,N13,-,155376,
1,N14,-,247030,
1,N15,-,226660,
1,N16,-,212412,
1,N17,-,236976,
1,N18,-,39794,
1,N19,-,230752,
1,N20,-,241004,
1,N21,-,262755,
1,N22,-,171159,
1,N23,-,325871,
1,N24,-,461181,
1,O01,-,536910,
1,O02,-,365423,
1,O03,-,293767,
1,O04,-,220754,
1,O05,-,230562,
1,O06,-,274418,
1,O07,-,313726,
1,O08,-,288721,
1,O09,-,261908,
1,O10,-,331367,
1,O11,-,313462,
1,O12,-,331863,
1,O13,-,245425,
1,O14,-,333637,
1,O15,-,281032,
1,O16,-,297626,
1,O17,-,377331,
1,O18,-,369267,
1,O19,-,317176,
1,O20,-,351904,
1,O21,-,297273,
1,O22,-,406987,
1,O23,-,435001,
1,O24,-,398436,
1,P01,-,503769,
1,P02,-,439073,
1,P03,-,354063,
1,P04,-,286762,
1,P05,-,504303,
1,P06,-,338555,
1,P07,-,338451,
1,P08,-,398270,
1,P09,-,353264,
1,P10,-,399456,
1,P11,-,394045,
1,P12,-,461943,
1,P13,-,477031,
1,P14,-,214413,
1,P15,-,569564,
1,P16,-,462734,
1,P17,-,544218,
1,P18,-,462207,
1,P19,-,444572,
1,P20,-,472325,
1,P21,-,546631,
1,P22,-,600713,
1,P23,-,619866,
1,P24,-,531468,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,A01,-,399195,
2,A02,-,489257,
2,A03,-,390193,
2,A04,-,387759,
2,A05,-,394942,
2,A06,-,371103,
2,A07,-,344260,
2,A08,-,401864,
2,A09,-,399348,
2,A10,-,383584,
2,A11,-,433408,
2,A12,-,423152,
2,A13,-,524878,
2,A14,-,366282,
2,A15,-,409708,
2,A16,-,356748,
2,A17,-,401951,
2,A18,-,424003,
2,A19,-,395003,
2,A20,-,342874,
2,A21,-,373307,
2,A22,-,460785,
2,A23,-,370216,
2,A24,-,363241,
2,B01,-,515553,
2,B02,-,406712,
2,B03,-,230854,
2,B04,-,236839,
2,B05,-,268095,
2,B06,-,190407,
2,B07,-,65991,
2,B08,-,225837,
2,B09,-,318898,
2,B10,-,249051,
2,B11,-,168356,
2,B12,-,173809,
2,B13,-,248728,
2,B14,-,250638,
2,B15,-,237139,
2,B16,-,208119,
2,B17,-,245237,
2,B18,-,265494,
2,B19,-,231061,
2,B20,-,266512,
2,B21,-,222769,
2,B22,-,223033,
2,B23,-,320756,
2,B24,-,412484,
2,C01,-,392812,
2,C02,-,235106,
2,C03,-,264736,
2,C04,-,219384,
2,C05,-,201589,
2,C06,-,224782,
2,C07,-,286483,
2,C08,-,233581,
2,C09,-,262765,
2,C10,-,251558,
2,C11,-,213054,
2,C12,-,271775,
2,C13,-,256290,
