,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
1,A01,-,127314,
1,A02,-,100923,
1,A03,-,93353,
1,A04,-,113463,
1,A05,-,92179,
1,A06,-,103697,
1,A07,-,130630,
1,A08,-,125488,
1,A09,-,130609,
1,A10,-,113244,
1,A11,-,142405,
1,A12,-,106412,
1,A13,-,100081,
1,A14,-,132942,
1,A15,-,80523,
1,A16,-,73732,
1,A17,-,89197,
1,A18,-,130682,
1,A19,-,82815,
1,A20,-,78749,
1,A21,-,85759,
1,A22,-,89205,
1,A23,-,103248,
1,A24,-,215870,
1,B01,-,117211,
1,B02,-,75322,
1,B03,-,90629,
1,B04,-,89104,
1,B05,-,87465,
1,B06,-,69230,
1,B07,-,49394,
1,B08,-,96102,
1,B09,-,76357,
1,B10,-,73801,
1,B11,-,65191,
1,B12,-,63416,
1,B13,-,134612,
1,B14,-,74789,
1,B15,-,50932,
1,B16,-,71017,
1,B17,-,70903,
1,B18,-,72324,
1,B19,-,66223,
1,B20,-,82937,
1,B21,-,63679,
1,B22,-,66489,
1,B23,-,84738,
1,B24,-,132961,
1,C01,-,106233,
1,C02,-,85414,
1,C03,-,89374,
1,C04,-,73529,
1,C05,-,67463,
1,C06,-,78186,
1,C07,-,119951,
1,C08,-,109419,
1,C09,-,106658,
1,C10,-,100033,
1,C11,-,96721,
1,C12,-,109581,
1,C13,-,93165,
1,C14,-,108178,
1,C15,-,89752,
1,C16,-,85179,
1,C17,-,79235,
1,C18,-,96877,
1,C19,-,80154,
1,C20,-,75884,
1,C21,-,76473,
1,C22,-,73592,
1,C23,-,95385,
1,C24,-,144940,
1,D01,-,96813,
1,D02,-,53701,
1,D03,-,84929,
1,D04,-,79049,
1,D05,-,69624,
1,D06,-,86035,
1,D07,-,64111,
1,D08,-,69017,
1,D09,-,77790,
1,D10,-,144006,
1,D11,-,78129,
1,D12,-,68205,
1,D13,-,98391,
1,D14,-,54050,
1,D15,-,84884,
1,D16,-,40595,
1,D17,-,73893,
1,D18,-,63167,
1,D19,-,90959,
1,D20,-,75403,
1,D21,-,63002,
1,D22,-,58556,
1,D23,-,91225,
1,D24,-,108245,
1,E01,-,130888,
1,E02,-,145408,
1,E03,-,74705,
1,E04,-,93722,
1,E05,-,99544,
1,E06,-,115953,
1,E07,-,110788,
1,E08,-,102210,
1,E09,-,110800,
1,E10,-,113103,
1,E11,-,106353,
1,E12,-,87500,
1,E13,-,93344,
1,E14,-,161183,
1,E15,-,123838,
1,E16,-,109344,
1,E17,-,118259,
1,E18,-,114703,
1,E19,-,80837,
1,E20,-,75707,
1,E21,-,89915,
1,E22,-,85095,
1,E23,-,77751,
1,E24,-,161460,
1,F01,-,139601,
1,F02,-,72573,
1,F03,-,111140,
1,F04,-,106572,
1,F05,-,123983,
1,F06,-,112499,
1,F07,-,92247,
1,F08,-,96898,
1,F09,-,46614,
1,F10,-,69863,
1,F11,-,130513,
1,F12,-,68908,
1,F13,-,95514,
1,F14,-,57173,
1,F15,-,83481,
1,F16,-,64830,
1,F17,-,93537,
1,F18,-,92123,
1,F19,-,117461,
1,F20,-,97213,
1,F21,-,94269,
1,F22,-,121168,
1,F23,-,106358,
1,F24,-,171358,
1,G01,-,187849,
1,G02,-,70061,
1,G03,-,85605,
1,G04,-,93736,
1,G05,-,78199,
1,G06,-,87724,
1,G07,-,88336,
1,G08,-,103038,
1,G09,-,122072,
1,G10,-,121519,
1,G11,-,108094,
1,G12,-,88040,
1,G13,-,135001,
1,G14,-,94209,
1,G15,-,140695,
1,G16,-,93475,
1,G17,-,88652,
1,G18,-,74955,
1,G19,-,87410,
1,G20,-,70383,
1,G21,-,72382,
1,G22,-,70007,
1,G23,-,75427,
1,G24,-,146962,
1,H01,-,85126,
1,H02,-,61855,
1,H03,-,81740,
1,H04,-,88708,
1,H05,-,79568,
1,H06,-,83824,
1,H07,-,56151,
1,H08,-,88509,
1,H09,-,65294,
1,H10,-,65485,
1,H11,-,80666,
1,H12,-,66307,
1,H13,-,87464,
1,H14,-,47490,
1,H15,-,72559,
1,H16,-,60497,
1,H17,-,67400,
1,H18,-,89517,
1,H19,-,83192,
1,H20,-,88861,
1,H21,-,61253,
1,H22,-,74507,
1,H23,-,55093,
1,H24,-,121087,
1,I01,-,201575,
1,I02,-,111635,
1,I03,-,141147,
1,I04,-,96840,
1,I05,-,132360,
1,I06,-,163136,
1,I07,-,165199,
1,I08,-,163558,
1,I09,-,189017,
1,I10,-,231020,
1,I11,-,148799,
1,I12,-,143397,
1,I13,-,123626,
1,I14,-,213742,
1,I15,-,146114,
1,I16,-,164513,
1,I17,-,117156,
1,I18,-,121578,
1,I19,-,119264,
1,I20,-,92437,
1,I21,-,124093,
1,I22,-,100321,
1,I23,-,89392,
1,I24,-,216592,
1,J01,-,59031,
1,J02,-,127657,
1,J03,-,99412,
1,J04,-,124113,
1,J05,-,80003,
1,J06,-,137186,
1,J07,-,153916,
1,J08,-,80934,
1,J09,-,92191,
1,J10,-,147170,
1,J11,-,133729,
1,J12,-,155535,
1,J13,-,84750,
1,J14,-,104428,
1,J15,-,85715,
1,J16,-,110217,
1,J17,-,123293,
1,J18,-,159151,
1,J19,-,94837,
1,J20,-,179369,
1,J21,-,41263,
1,J22,-,104917,
1,J23,-,99325,
1,J24,-,121893,
1,K01,-,147972,
1,K02,-,111487,
1,K03,-,112806,
1,K04,-,104716,
1,K05,-,87375,
1,K06,-,101393,
1,K07,-,128992,
1,K08,-,113463,
1,K09,-,144392,
1,K10,-,134185,
1,K11,-,111246,
1,K12,-,109077,
1,K13,-,135745,
1,K14,-,136988,
1,K15,-,98452,
1,K16,-,138368,
1,K17,-,117099,
1,K18,-,150163,
1,K19,-,102572,
1,K20,-,81826,
1,K21,-,119506,
1,K22,-,107961,
1,K23,-,105650,
1,K24,-,236018,
1,L01,-,124794,
1,L02,-,48131,
1,L03,-,99207,
1,L04,-,122680,
1,L05,-,106225,
1,L06,-,111021,
1,L07,-,85451,
1,L08,-,92061,
1,L09,-,112509,
1,L10,-,114026,
1,L11,-,71915,
1,L12,-,109521,
1,L13,-,35340,
1,L14,-,42053,
1,L15,-,101599,
1,L16,-,74098,
1,L17,-,125792,
1,L18,-,128757,
1,L19,-,97334,
1,L20,-,129625,
1,L21,-,61469,
1,L22,-,126928,
1,L23,-,70269,
1,L24,-,135784,
1,M01,-,138376,
1,M02,-,107259,
1,M03,-,107288,
1,M04,-,101955,
1,M05,-,105518,
1,M06,-,91516,
1,M07,-,124514,
1,M08,-,117123,
1,M09,-,113365,
1,M10,-,105753,
1,M11,-,148321,
1,M12,-,178721,
1,M13,-,111896,
1,M14,-,103214,
1,M15,-,102622,
1,M16,-,129883,
1,M17,-,103358,
1,M18,-,87773,
1,M19,-,113330,
1,M20,-,127650,
1,M21,-,102528,
1,M22,-,141278,
1,M23,-,180671,
1,M24,-,103545,
1,N01,-,138086,
1,N02,-,83603,
1,N03,-,98440,
1,N04,-,120731,
1,N05,-,90396,
1,N06,-,92382,
1,N07,-,103003,
1,N08,-,132955,
1,N09,-,149222,
1,N10,-,85373,
1,N11,-,160112,
1,N12,-,86699,
1,N13,-,101047,
1,N14,-,105810,
1,N15,-,167398,
1,N16,-,119278,
1,N17,-,93337,
1,N18,-,42550,
1,N19,-,88192,
1,N20,-,75551,
1,N21,-,91090,
1,N22,-,125310,
1,N23,-,129441,
1,N24,-,93099,
1,O01,-,118883,
1,O02,-,131033,
1,O03,-,129187,
1,O04,-,125629,
1,O05,-,99123,
1,O06,-,103176,
1,O07,-,205908,
1,O08,-,132780,
1,O09,-,84562,
1,O10,-,111644,
1,O11,-,90272,
1,O12,-,143289,
1,O13,-,111456,
1,O14,-,158629,
1,O15,-,118259,
1,O16,-,137697,
1,O17,-,116373,
1,O18,-,195555,
1,O19,-,110372,
1,O20,-,104050,
1,O21,-,78377,
1,O22,-,129073,
1,O23,-,76402,
1,O24,-,250448,
1,P01,-,232344,
1,P02,-,145650,
1,P03,-,143436,
1,P04,-,98919,
1,P05,-,83007,
1,P06,-,119974,
1,P07,-,184306,
1,P08,-,82976,
1,P09,-,153724,
1,P10,-,172006,
1,P11,-,128017,
1,P12,-,169125,
1,P13,-,204921,
1,P14,-,119681,
1,P15,-,102622,
1,P16,-,97030,
1,P17,-,135839,
1,P18,-,132737,
1,P19,-,180190,
1,P20,-,105168,
1,P21,-,112103,
1,P22,-,106130,
1,P23,-,128463,
1,P24,-,274864,

,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
2,A01,-,104150,
2,A02,-,86508,
2,A03,-,93597,
2,A04,-,96317,
2,A05,-,95772,
2,A06,-,98583,
2,A07,-,111779,
2,A08,-,85169,
2,A09,-,86914,
2,A10,-,85124,
2,A11,-,97958,
2,A12,-,108974,
2,A13,-,98824,
2,A14,-,131371,
2,A15,-,77323,
2,A16,-,97329,
2,A17,-,92754,
2,A18,-,104648,
2,A19,-,94118,
2,A20,-,101154,
2,A21,-,95596,
2,A22,-,102924,
2,A23,-,127348,
2,A24,-,170596,
2,B01,-,104650,
2,B02,-,88950,
2,B03,-,83282,
2,B04,-,75076,
2,B05,-,77817,
2,B06,-,75208,
2,B07,-,50204,
2,B08,-,77088,
2,B09,-,63013,
2,B10,-,77149,
2,B11,-,44941,
2,B12,-,49180,
2,B13,-,77948,
2,B14,-,71768,
2,B15,-,53072,
2,B16,-,74450,
2,B17,-,66107,
2,B18,-,57175,
2,B19,-,67112,
2,B20,-,68705,
2,B21,-,74248,
2,B22,-,65600,
2,B23,-,74067,
2,B24,-,86457,
2,C01,-,105508,
2,C02,-,87960,
2,C03,-,99052,
2,C04,-,89090,
2,C05,-,91458,
2,C06,-,85804,
2,C07,-,88480,
2,C08,-,80110,
2,C09,-,89460,
2,C10,-,76419,
2,C11,-,81772,
2,C12,-,87723,
2,C13,-,87396,
