,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
1,A01,142634,
1,A02,92448,
1,A03,104287,
1,A04,115778,
1,A05,166912,
1,A06,105122,
1,A07,109505,
1,A08,83230,
1,A09,91692,
1,A10,84255,
1,A11,102378,
1,A12,130469,
1,A13,118284,
1,A14,130621,
1,A15,88012,
1,A16,92489,
1,A17,110791,
1,A18,98978,
1,A19,101286,
1,A20,118541,
1,A21,105427,
1,A22,127598,
1,A23,132778,
1,A24,247358,
1,B01,113439,
1,B02,80752,
1,B03,105139,
1,B04,176122,
1,B05,105143,
1,B06,81951,
1,B07,57367,
1,B08,93028,
1,B09,82111,
1,B10,86671,
1,B11,57265,
1,B12,62459,
1,B13,106928,
1,B14,98619,
1,B15,87717,
1,B16,94696,
1,B17,89739,
1,B18,85228,
1,B19,109618,
1,B20,83406,
1,B21,187832,
1,B22,91336,
1,B23,126273,
1,B24,118962,
1,C01,122244,
1,C02,91640,
1,C03,53687,
1,C04,56031,
1,C05,79611,
1,C06,80952,
1,C07,80554,
1,C08,84755,
1,C09,78323,
1,C10,54909,
1,C11,60594,
1,C12,93031,
1,C13,92918,
1,C14,100017,
1,C15,99169,
1,C16,86565,
1,C17,83732,
1,C18,103528,
1,C19,84924,
1,C20,88756,
1,C21,77698,
1,C22,90894,
1,C23,78170,
1,C24,116470,
1,D01,94990,
1,D02,91034,
1,D03,114619,
1,D04,116545,
1,D05,129323,
1,D06,83440,
1,D07,91376,
1,D08,78307,
1,D09,93899,
1,D10,234113,
1,D11,140736,
1,D12,134236,
1,D13,115238,
1,D14,90314,
1,D15,111236,
1,D16,56587,
1,D17,95751,
1,D18,82663,
1,D19,96720,
1,D20,80526,
1,D21,86495,
1,D22,88916,
1,D23,100444,
1,D24,138446,
1,E01,139677,
1,E02,102190,
1,E03,66142,
1,E04,57325,
1,E05,82334,
1,E06,92744,
1,E07,89576,
1,E08,88089,
1,E09,82230,
1,E10,48436,
1,E11,67998,
1,E12,92534,
1,E13,113019,
1,E14,110266,
1,E15,97523,
1,E16,107750,
1,E17,92123,
1,E18,92698,
1,E19,84817,
1,E20,96222,
1,E21,92150,
1,E22,98997,
1,E23,109875,
1,E24,137233,
1,F01,197334,
1,F02,99650,
1,F03,147462,
1,F04,151170,
1,F05,127304,
1,F06,98727,
1,F07,92347,
1,F08,103488,
1,F09,63659,
1,F10,94133,
1,F11,111480,
1,F12,92836,
1,F13,103346,
1,F14,100515,
1,F15,104012,
1,F16,88803,
1,F17,105486,
1,F18,100116,
1,F19,80432,
1,F20,80180,
1,F21,93924,
1,F22,105138,
1,F23,101448,
1,F24,130004,
1,G01,202660,
1,G02,99644,
1,G03,77041,
1,G04,59855,
1,G05,92015,
1,G06,119700,
1,G07,89472,
1,G08,111645,
1,G09,92260,
1,G10,51278,
1,G11,50176,
1,G12,95020,
1,G13,100363,
1,G14,110131,
1,G15,84617,
1,G16,116283,
1,G17,105856,
1,G18,131312,
1,G19,107599,
1,G20,111705,
1,G21,120114,
1,G22,121150,
1,G23,116851,
1,G24,173320,
1,H01,166345,
1,H02,77375,
1,H03,83318,
1,H04,81562,
1,H05,101078,
1,H06,75857,
1,H07,89131,
1,H08,85094,
1,H09,103161,
1,H10,91128,
1,H11,128198,
1,H12,88010,
1,H13,89198,
1,H14,102841,
1,H15,89186,
1,H16,80952,
1,H17,108427,
1,H18,90578,
1,H19,113487,
1,H20,102927,
1,H21,114687,
1,H22,82480,
1,H23,130659,
1,H24,127037,
1,I01,140179,
1,I02,191626,
1,I03,97719,
1,I04,66789,
1,I05,112007,
1,I06,103584,
1,I07,101413,
1,I08,99468,
1,I09,75805,
1,I10,51793,
1,I11,53681,
1,I12,117265,
1,I13,111340,
1,I14,122067,
1,I15,105235,
1,I16,110777,
1,I17,94857,
1,I18,125876,
1,I19,107974,
1,I20,127182,
1,I21,111195,
1,I22,125414,
1,I23,124033,
1,I24,217403,
1,J01,57021,
1,J02,98566,
1,J03,111817,
1,J04,102325,
1,J05,79379,
1,J06,87328,
1,J07,99836,
1,J08,55655,
1,J09,68295,
1,J10,101031,
1,J11,97023,
1,J12,94752,
1,J13,97227,
1,J14,85243,
1,J15,112119,
1,J16,90717,
1,J17,122665,
1,J18,88810,
1,J19,95713,
1,J20,101045,
1,J21,56906,
1,J22,99020,
1,J23,126542,
1,J24,102905,
1,K01,274173,
1,K02,145216,
1,K03,63679,
1,K04,80216,
1,K05,113043,
1,K06,137596,
1,K07,102313,
1,K08,99248,
1,K09,91869,
1,K10,49844,
1,K11,55734,
1,K12,95460,
1,K13,98534,
1,K14,108199,
1,K15,98819,
1,K16,106350,
1,K17,96386,
1,K18,113448,
1,K19,91195,
1,K20,108056,
1,K21,112880,
1,K22,118368,
1,K23,96811,
1,K24,156993,
1,L01,143429,
1,L02,85749,
1,L03,86479,
1,L04,108504,
1,L05,97801,
1,L06,98680,
1,L07,105022,
1,L08,93161,
1,L09,108031,
1,L10,97215,
1,L11,63191,
1,L12,103996,
1,L13,36597,
1,L14,74828,
1,L15,112556,
1,L16,71525,
1,L17,109091,
1,L18,95087,
1,L19,104710,
1,L20,95859,
1,L21,76297,
1,L22,121077,
1,L23,76224,
1,L24,225799,
1,M01,154049,
1,M02,145284,
1,M03,100546,
1,M04,68958,
1,M05,159879,
1,M06,123485,
