Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,142634,92448,104287,115778,166912,105122,109505,83230,91692,84255,102378,130469,118284,130621,88012,92489,110791,98978,101286,118541,105427,127598,132778,247358,
B,113439,80752,105139,176122,105143,81951,57367,93028,82111,86671,57265,62459,106928,98619,87717,94696,89739,85228,109618,83406,187832,91336,126273,118962,
C,122244,91640,53687,56031,79611,80952,80554,84755,78323,54909,60594,93031,92918,100017,99169,86565,83732,103528,84924,88756,77698,90894,78170,116470,
D,94990,91034,114619,116545,129323,83440,91376,78307,93899,234113,140736,134236,115238,90314,111236,56587,95751,82663,96720,80526,86495,88916,100444,138446,
E,139677,102190,66142,57325,82334,92744,89576,88089,82230,48436,67998,92534,113019,110266,97523,107750,92123,92698,84817,96222,92150,98997,109875,137233,
F,197334,99650,147462,151170,127304,98727,92347,103488,63659,94133,111480,92836,103346,100515,104012,88803,105486,100116,80432,80180,93924,105138,101448,130004,
G,202660,99644,77041,59855,92015,119700,89472,111645,92260,51278,50176,95020,100363,110131,84617,116283,105856,131312,107599,111705,120114,121150,116851,173320,
H,166345,77375,83318,81562,101078,75857,89131,85094,103161,91128,128198,88010,89198,102841,89186,80952,108427,90578,113487,102927,114687,82480,130659,127037,
I,140179,191626,97719,66789,112007,103584,101413,99468,75805,51793,53681,117265,111340,122067,105235,110777,94857,125876,107974,127182,111195,125414,124033,217403,
J,57021,98566,111817,102325,79379,87328,99836,55655,68295,101031,97023,94752,97227,85243,112119,90717,122665,88810,95713,101045,56906,99020,126542,102905,
K,274173,145216,63679,80216,113043,137596,102313,99248,91869,49844,55734,95460,98534,108199,98819,106350,96386,113448,91195,108056,112880,118368,96811,156993,
L,143429,85749,86479,108504,97801,98680,105022,93161,108031,97215,63191,103996,36597,74828,112556,71525,109091,95087,104710,95859,76297,121077,76224,225799,
M,154049,145284,100546,68958,159879,123485,91680,117195,93879,50181,57845,98610,96368,111782,109720,103468,89245,124354,100054,125344,138794,125516,136925,193293,
N,187351,182936,110504,105848,99441,90232,123742,98056,87968,101985,139656,88244,90077,83296,87400,99823,94484,43158,94124,111305,76435,94874,124203,158140,
O,151019,187244,113227,192189,176854,156834,128129,106171,98015,113587,91950,108063,114931,145151,160122,156108,142163,122457,108579,126346,184776,307480,143420,143631,
P,234822,140580,113670,113865,135194,104258,121300,98179,104284,167421,167129,159607,116452,108231,149232,187644,251348,207460,187454,153809,112727,126509,153466,272947,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,,14.68,23.05,23.07,54.3,54.1,23.15,23.17,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:47:24 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1563,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,116607,159662,122679,103595,115793,91876,131639,92538,124863,215366,284277,133249,201399,567504,107372,192714,138889,120481,131170,117679,125026,129417,175461,258833,
B,174131,111798,89001,244136,153017,85799,73725,88679,91958,100989,54248,101398,122140,124827,209126,83379,93273,93908,79485,98239,87829,77861,97054,113249,
C,165765,83927,50074,56904,104123,98562,85603,101312,210384,51354,47124,104529,103354,95853,91156,91361,81252,109109,99428,87018,97106,83880,121011,129648,
D,126117,89391,89226,91914,85298,91201,94075,93510,121080,129660,99509,183234,89126,100837,97652,61178,97111,109512,100610,90586,100430,77038,101254,153238,
E,215504,98849,54203,55780,132857,164236,120292,113007,93943,46937,48487,133275,83394,117755,149536,110901,256666,113075,116736,108779,99875,117684,109714,135744,
F,106050,134275,97097,125883,114958,118215,151566,129186,74431,97911,154037,96321,81085,84720,98733,88057,129819,115882,138379,92740,113567,116594,113589,174235,
G,120778,212084,81606,88649,99648,93500,111254,121648,109013,48343,56250,102777,103111,114856,120321,115614,129353,106073,105018,109213,122813,111733,95746,168523,
H,155164,77258,146886,96455,110669,101266,88466,123718,116564,137934,109458,97475,109893,67024,112229,84593,112016,111822,104044,96220,108080,106196,76131,135729,
I,149807,114656,58498,56421,91760,101236,106960,125715,100463,54351,56944,99380,97851,112677,119621,98857,107247,108337,105391,113587,98489,101835,93391,266947,
J,115918,144018,206312,106536,94858,105730,151314,75361,105940,97620,139849,113272,111979,108279,118775,109922,118328,127589,101423,93661,73786,77753,102144,107515,
K,167474,97518,47041,75228,149533,160481,224938,126238,104870,63012,58098,115844,110681,146326,106891,140721,142424,117806,137134,120643,285543,144601,108294,228523,
L,122479,45716,189750,153661,164717,166234,180512,127359,110153,128785,95311,150451,36126,72134,158804,87147,152203,134151,145593,147572,114162,199970,92616,157352,
M,174144,278604,45023,51551,151800,172308,157835,236073,173389,68628,69431,167752,183895,303770,118446,150665,178359,168274,111454,118085,150029,121216,132929,240172,
N,122829,113047,100989,115162,76355,113287,123364,181815,112170,115172,185936,163230,106391,159475,192451,118354,127389,42779,154193,93565,88245,70102,109948,226630,
O,176611,199930,431253,150884,124139,308902,155526,195603,212153,222813,209324,185703,357110,291955,215441,207480,177355,190859,160944,152142,173331,168116,195748,220282,
P,233076,418460,267738,353831,299300,186245,359207,198156,277107,256301,212342,215629,262410,241187,291927,355405,217406,243934,150682,121256,119829,141872,365266,304528,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
2,1,,14.73,23.05,23.17,53.8,53.8,23.25,23.27,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:48:33 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,new alamar blue,0,1528,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,254701,471831,393599,348468,129399,209137,160599,105164,201371,167708,148972,389200,276479,528065,433054,385560,179938,301669,328949,307050,230064,475123,189747,391303,
B,323381,121153,89451,121038,152581,103907,68286,92507,94736,116035,71504,107637,100339,200757,97328,83123,79466,75016,90193,99953,93943,116734,139271,297468,
C,125462,90939,39143,44290,83187,94922,96445,89964,80448,47125,68157,82595,108032,109684,112064,84333,99401,111245,82111,97752,88801,97901,117428,321287,
D,173444,121940,124106,108336,110533,99497,119968,80121,88510,123598,120082,99970,102051,94055,91362,57475,98873,91713,92133,78874,88273,93120,166869,301942,
