Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,681636,666806,688962,679548,673780,687913,690528,685299,673263,680591,685296,683209,685828,686351,679541,679022,682683,690536,686351,685825,682687,679540,674307,692636,
B,690534,617400,619784,678496,687922,463219,290660,652541,492990,572896,241236,318493,686350,683211,624086,691060,664804,586537,693685,687393,681119,692630,683741,682689,
C,689495,627654,241008,177930,381170,357011,382201,366164,349392,218667,297496,397098,521407,591609,550176,437834,371546,598155,351756,370511,472664,664010,613824,690537,
D,560132,346453,404423,413054,355110,335997,367945,277910,522576,689496,577368,629851,551214,370708,496210,192252,394229,315791,487778,292667,356730,368599,680729,681634,
E,610250,478272,223614,173490,298212,345558,283676,307860,275424,156185,250385,306484,373928,376280,343971,358304,364429,317235,279657,327557,317181,391777,649024,681633,
F,692109,471514,412929,438987,398820,313420,294235,314982,185988,275100,343094,295863,342639,286240,348771,277786,334359,329383,243145,275628,339175,469590,432403,680585,
G,686351,339851,239774,194016,285202,354183,281632,297959,288718,133873,131948,280628,308752,314696,257465,331849,319687,364603,286870,385383,449995,570776,477999,673262,
H,617050,202315,272010,279379,341882,231102,266250,255707,286652,264645,341368,252031,263528,259129,267258,246667,337301,292961,308295,349120,394327,278233,406522,678222,
I,699963,514435,268304,194574,328380,328601,302199,303743,220362,133875,155399,351537,362368,352996,303229,298863,283931,348402,297614,343111,401011,462455,567112,683732,
J,102766,368807,298851,290981,237999,252596,274075,140333,195160,264793,273801,293941,289766,242337,320930,256826,381795,273084,291560,309124,169588,379231,592020,525761,
K,686349,441531,195433,217867,305881,348402,311075,307799,278455,133514,169887,269784,308778,309051,286629,327475,281204,341413,265024,310304,403832,582516,420297,685826,
L,499114,253995,315781,310349,293403,273305,289811,257476,332582,280285,179575,309453,37761,203974,350768,206865,326275,280934,313141,263525,230615,597426,302262,684781,
M,472108,526385,256159,188336,364755,346535,290061,519954,307076,145950,171537,351199,297338,445114,381277,327120,264139,394520,327269,461519,482532,414933,443083,685820,
N,680065,547402,304550,319473,306245,266266,357659,295270,308021,329847,592306,337319,307756,261187,295439,340401,315404,65437,316066,419004,237387,273885,395201,688956,
O,588514,508972,411390,584014,614147,480253,601031,582836,504355,476477,481556,614571,628686,574649,675357,676926,687401,637603,550850,683209,697345,682684,655681,685832,
P,680592,690016,617846,685303,696297,685300,681636,597912,676932,684774,688973,687393,624924,652306,679028,679018,675354,685299,691060,683732,677971,674311,687227,684782,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,,14.68,23.73,23.73,53.7,53.3,23.64,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:03:53 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1529,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,667637,688439,682677,681632,686341,686862,685292,690005,675349,682153,687385,681632,680582,685817,692100,688436,681104,689485,683730,693670,676922,683202,696814,690007,
B,682154,683723,681109,688438,687913,671709,435986,685820,674317,685809,227391,697339,682158,691575,673788,600936,676389,689996,650486,691054,673774,663362,681628,674818,
C,682677,659094,296846,251816,672568,684251,544737,677518,685294,221334,221921,431569,514503,691641,688439,587707,418667,579715,474769,499627,672643,456181,685299,689492,
D,683736,589335,500899,351240,314314,602482,360877,323662,680057,484093,372283,684251,400957,621791,642436,268914,454737,559904,414262,488755,617618,519856,627641,684253,
E,685822,676705,319709,191505,614754,683197,557189,575050,376249,127490,143552,624199,282709,446550,647488,429531,691054,401805,555803,368999,410271,593176,629203,678489,
F,633535,679538,487722,586299,407087,390948,422776,443354,243511,303835,675605,583735,274080,268661,354462,279976,655570,568854,579072,309705,547513,638945,681103,686854,
G,686870,684773,345780,288009,587190,388910,428970,528393,401932,133591,132540,364689,368609,402980,522155,621716,536642,382944,516149,569286,564583,630092,572289,682679,
H,660375,308857,693671,274540,324840,330914,261767,409311,447855,526020,461324,307683,377233,196420,458330,250481,448446,555221,401894,367253,489325,565203,293838,618557,
I,685816,680576,176574,187517,292268,475119,299973,375776,305533,176983,164485,285905,285401,496503,402938,287640,311571,346882,388630,617301,384584,605363,549788,696813,
J,533703,613410,687909,333501,268467,302108,416037,222566,302834,331310,388610,326254,446852,318506,376965,448246,479447,353057,410987,290219,242492,357957,539228,540731,
K,688964,670466,147010,326618,604304,500088,582419,502120,309739,214789,192665,351264,340631,403407,316379,570298,441645,368402,522785,367208,685812,571567,657109,697858,
L,600902,133262,560900,400673,389309,466124,433611,320617,341475,329935,250331,386021,36663,177046,463452,257167,526268,363084,395620,374585,315133,634334,487342,683197,
M,691572,672732,156902,196948,414024,502584,498675,666636,563101,221880,191552,577573,561205,685294,545334,681108,553025,584024,591264,436708,656422,568333,686862,681638,
N,695762,647052,426472,518715,270565,457616,554808,510593,535352,482947,636008,556080,418869,601330,641644,601622,489549,81902,499820,334873,372945,335585,680585,699948,
O,676084,691579,673780,673218,679479,682149,702571,692989,686346,643040,681633,677922,686345,690001,680582,687914,681632,686337,690008,651627,686867,680065,684252,686339,
P,680061,686862,683719,687388,693677,693147,683722,692096,688432,689489,686346,680064,683200,683201,688438,696293,683200,688961,686871,695237,676917,695771,687910,683202,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
