,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
1,A01,681636,
1,A02,666806,
1,A03,688962,
1,A04,679548,
1,A05,673780,
1,A06,687913,
1,A07,690528,
1,A08,685299,
1,A09,673263,
1,A10,680591,
1,A11,685296,
1,A12,683209,
1,A13,685828,
1,A14,686351,
1,A15,679541,
1,A16,679022,
1,A17,682683,
1,A18,690536,
1,A19,686351,
1,A20,685825,
1,A21,682687,
1,A22,679540,
1,A23,674307,
1,A24,692636,
1,B01,690534,
1,B02,617400,
1,B03,619784,
1,B04,678496,
1,B05,687922,
1,B06,463219,
1,B07,290660,
1,B08,652541,
1,B09,492990,
1,B10,572896,
1,B11,241236,
1,B12,318493,
1,B13,686350,
1,B14,683211,
1,B15,624086,
1,B16,691060,
1,B17,664804,
1,B18,586537,
1,B19,693685,
1,B20,687393,
1,B21,681119,
1,B22,692630,
1,B23,683741,
1,B24,682689,
1,C01,689495,
1,C02,627654,
1,C03,241008,
1,C04,177930,
1,C05,381170,
1,C06,357011,
1,C07,382201,
1,C08,366164,
1,C09,349392,
1,C10,218667,
1,C11,297496,
1,C12,397098,
1,C13,521407,
1,C14,591609,
1,C15,550176,
1,C16,437834,
1,C17,371546,
1,C18,598155,
1,C19,351756,
1,C20,370511,
1,C21,472664,
1,C22,664010,
1,C23,613824,
1,C24,690537,
1,D01,560132,
1,D02,346453,
1,D03,404423,
1,D04,413054,
1,D05,355110,
1,D06,335997,
1,D07,367945,
1,D08,277910,
1,D09,522576,
1,D10,689496,
1,D11,577368,
1,D12,629851,
1,D13,551214,
1,D14,370708,
1,D15,496210,
1,D16,192252,
1,D17,394229,
1,D18,315791,
1,D19,487778,
1,D20,292667,
1,D21,356730,
1,D22,368599,
1,D23,680729,
1,D24,681634,
1,E01,610250,
1,E02,478272,
1,E03,223614,
1,E04,173490,
1,E05,298212,
1,E06,345558,
1,E07,283676,
1,E08,307860,
1,E09,275424,
1,E10,156185,
1,E11,250385,
1,E12,306484,
1,E13,373928,
1,E14,376280,
1,E15,343971,
1,E16,358304,
1,E17,364429,
1,E18,317235,
1,E19,279657,
1,E20,327557,
1,E21,317181,
1,E22,391777,
1,E23,649024,
1,E24,681633,
1,F01,692109,
1,F02,471514,
1,F03,412929,
1,F04,438987,
1,F05,398820,
1,F06,313420,
1,F07,294235,
1,F08,314982,
1,F09,185988,
1,F10,275100,
1,F11,343094,
1,F12,295863,
1,F13,342639,
1,F14,286240,
1,F15,348771,
1,F16,277786,
1,F17,334359,
1,F18,329383,
1,F19,243145,
1,F20,275628,
1,F21,339175,
1,F22,469590,
1,F23,432403,
1,F24,680585,
1,G01,686351,
1,G02,339851,
1,G03,239774,
1,G04,194016,
1,G05,285202,
1,G06,354183,
1,G07,281632,
1,G08,297959,
1,G09,288718,
1,G10,133873,
1,G11,131948,
1,G12,280628,
1,G13,308752,
1,G14,314696,
1,G15,257465,
1,G16,331849,
1,G17,319687,
1,G18,364603,
1,G19,286870,
1,G20,385383,
1,G21,449995,
1,G22,570776,
1,G23,477999,
1,G24,673262,
1,H01,617050,
1,H02,202315,
1,H03,272010,
1,H04,279379,
1,H05,341882,
1,H06,231102,
1,H07,266250,
1,H08,255707,
1,H09,286652,
1,H10,264645,
1,H11,341368,
1,H12,252031,
1,H13,263528,
1,H14,259129,
1,H15,267258,
1,H16,246667,
1,H17,337301,
1,H18,292961,
1,H19,308295,
1,H20,349120,
1,H21,394327,
1,H22,278233,
1,H23,406522,
1,H24,678222,
1,I01,699963,
1,I02,514435,
1,I03,268304,
1,I04,194574,
1,I05,328380,
1,I06,328601,
1,I07,302199,
1,I08,303743,
1,I09,220362,
1,I10,133875,
1,I11,155399,
1,I12,351537,
1,I13,362368,
1,I14,352996,
1,I15,303229,
1,I16,298863,
1,I17,283931,
1,I18,348402,
1,I19,297614,
1,I20,343111,
1,I21,401011,
1,I22,462455,
1,I23,567112,
1,I24,683732,
1,J01,102766,
1,J02,368807,
1,J03,298851,
1,J04,290981,
1,J05,237999,
1,J06,252596,
1,J07,274075,
1,J08,140333,
1,J09,195160,
1,J10,264793,
1,J11,273801,
1,J12,293941,
1,J13,289766,
1,J14,242337,
1,J15,320930,
1,J16,256826,
1,J17,381795,
1,J18,273084,
1,J19,291560,
1,J20,309124,
1,J21,169588,
1,J22,379231,
1,J23,592020,
1,J24,525761,
1,K01,686349,
1,K02,441531,
1,K03,195433,
1,K04,217867,
1,K05,305881,
1,K06,348402,
1,K07,311075,
1,K08,307799,
1,K09,278455,
1,K10,133514,
1,K11,169887,
1,K12,269784,
1,K13,308778,
1,K14,309051,
1,K15,286629,
1,K16,327475,
1,K17,281204,
1,K18,341413,
1,K19,265024,
1,K20,310304,
1,K21,403832,
1,K22,582516,
1,K23,420297,
1,K24,685826,
1,L01,499114,
1,L02,253995,
1,L03,315781,
1,L04,310349,
1,L05,293403,
1,L06,273305,
1,L07,289811,
1,L08,257476,
1,L09,332582,
1,L10,280285,
1,L11,179575,
1,L12,309453,
1,L13,37761,
1,L14,203974,
1,L15,350768,
1,L16,206865,
1,L17,326275,
1,L18,280934,
1,L19,313141,
1,L20,263525,
1,L21,230615,
1,L22,597426,
1,L23,302262,
1,L24,684781,
1,M01,472108,
1,M02,526385,
1,M03,256159,
1,M04,188336,
1,M05,364755,
1,M06,346535,
1,M07,290061,
1,M08,519954,
1,M09,307076,
1,M10,145950,
1,M11,171537,
1,M12,351199,
1,M13,297338,
1,M14,445114,
1,M15,381277,
1,M16,327120,
1,M17,264139,
1,M18,394520,
1,M19,327269,
1,M20,461519,
1,M21,482532,
1,M22,414933,
1,M23,443083,
1,M24,685820,
1,N01,680065,
1,N02,547402,
1,N03,304550,
1,N04,319473,
1,N05,306245,
1,N06,266266,
1,N07,357659,
1,N08,295270,
1,N09,308021,
1,N10,329847,
1,N11,592306,
1,N12,337319,
1,N13,307756,
1,N14,261187,
1,N15,295439,
1,N16,340401,
1,N17,315404,
1,N18,65437,
1,N19,316066,
1,N20,419004,
1,N21,237387,
1,N22,273885,
1,N23,395201,
1,N24,688956,
1,O01,588514,
1,O02,508972,
1,O03,411390,
1,O04,584014,
1,O05,614147,
1,O06,480253,
1,O07,601031,
1,O08,582836,
1,O09,504355,
1,O10,476477,
1,O11,481556,
1,O12,614571,
1,O13,628686,
1,O14,574649,
1,O15,675357,
1,O16,676926,
1,O17,687401,
1,O18,637603,
1,O19,550850,
1,O20,683209,
1,O21,697345,
1,O22,682684,
1,O23,655681,
1,O24,685832,
1,P01,680592,
1,P02,690016,
1,P03,617846,
1,P04,685303,
1,P05,696297,
1,P06,685300,
1,P07,681636,
1,P08,597912,
1,P09,676932,
1,P10,684774,
1,P11,688973,
1,P12,687393,
1,P13,624924,
1,P14,652306,
1,P15,679028,
1,P16,679018,
1,P17,675354,
1,P18,685299,
1,P19,691060,
1,P20,683732,
1,P21,677971,
1,P22,674311,
1,P23,687227,
1,P24,684782,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
2,A01,667637,
2,A02,688439,
2,A03,682677,
2,A04,681632,
2,A05,686341,
2,A06,686862,
2,A07,685292,
2,A08,690005,
2,A09,675349,
2,A10,682153,
2,A11,687385,
2,A12,681632,
2,A13,680582,
2,A14,685817,
2,A15,692100,
2,A16,688436,
2,A17,681104,
2,A18,689485,
2,A19,683730,
2,A20,693670,
2,A21,676922,
2,A22,683202,
2,A23,696814,
2,A24,690007,
2,B01,682154,
2,B02,683723,
2,B03,681109,
2,B04,688438,
2,B05,687913,
2,B06,671709,
2,B07,435986,
2,B08,685820,
2,B09,674317,
2,B10,685809,
2,B11,227391,
2,B12,697339,
2,B13,682158,
2,B14,691575,
2,B15,673788,
2,B16,600936,
2,B17,676389,
2,B18,689996,
2,B19,650486,
2,B20,691054,
2,B21,673774,
2,B22,663362,
2,B23,681628,
2,B24,674818,
2,C01,682677,
2,C02,659094,
2,C03,296846,
2,C04,251816,
2,C05,672568,
2,C06,684251,
2,C07,544737,
2,C08,677518,
2,C09,685294,
2,C10,221334,
2,C11,221921,
2,C12,431569,
2,C13,514503,
2,C14,691641,
2,C15,688439,
2,C16,587707,
2,C17,418667,
2,C18,579715,
2,C19,474769,
2,C20,499627,
2,C21,672643,
2,C22,456181,
2,C23,685299,
2,C24,689492,
2,D01,683736,
2,D02,589335,
2,D03,500899,
2,D04,351240,
2,D05,314314,
2,D06,602482,
2,D07,360877,
2,D08,323662,
2,D09,680057,
2,D10,484093,
2,D11,372283,
2,D12,684251,
2,D13,400957,
2,D14,621791,
2,D15,642436,
2,D16,268914,
2,D17,454737,
2,D18,559904,
2,D19,414262,
2,D20,488755,
2,D21,617618,
2,D22,519856,
2,D23,627641,
2,D24,684253,
2,E01,685822,
2,E02,676705,
2,E03,319709,
2,E04,191505,
2,E05,614754,
2,E06,683197,
2,E07,557189,
2,E08,575050,
2,E09,376249,
2,E10,127490,
2,E11,143552,
2,E12,624199,
2,E13,282709,
2,E14,446550,
2,E15,647488,
2,E16,429531,
2,E17,691054,
2,E18,401805,
2,E19,555803,
2,E20,368999,
2,E21,410271,
2,E22,593176,
2,E23,629203,
2,E24,678489,
2,F01,633535,
2,F02,679538,
2,F03,487722,
2,F04,586299,
2,F05,407087,
2,F06,390948,
2,F07,422776,
2,F08,443354,
2,F09,243511,
2,F10,303835,
2,F11,675605,
2,F12,583735,
2,F13,274080,
2,F14,268661,
2,F15,354462,
2,F16,279976,
2,F17,655570,
2,F18,568854,
2,F19,579072,
2,F20,309705,
2,F21,547513,
2,F22,638945,
2,F23,681103,
2,F24,686854,
2,G01,686870,
2,G02,684773,
2,G03,345780,
2,G04,288009,
2,G05,587190,
2,G06,388910,
2,G07,428970,
2,G08,528393,
2,G09,401932,
2,G10,133591,
2,G11,132540,
2,G12,364689,
2,G13,368609,
2,G14,402980,
2,G15,522155,
2,G16,621716,
2,G17,536642,
2,G18,382944,
2,G19,516149,
2,G20,569286,
2,G21,564583,
2,G22,630092,
2,G23,572289,
2,G24,682679,
2,H01,660375,
2,H02,308857,
2,H03,693671,
2,H04,274540,
2,H05,324840,
2,H06,330914,
2,H07,261767,
2,H08,409311,
2,H09,447855,
2,H10,526020,
2,H11,461324,
2,H12,307683,
2,H13,377233,
2,H14,196420,
2,H15,458330,
2,H16,250481,
2,H17,448446,
2,H18,555221,
2,H19,401894,
2,H20,367253,
2,H21,489325,
2,H22,565203,
2,H23,293838,
2,H24,618557,
2,I01,685816,
2,I02,680576,
2,I03,176574,
2,I04,187517,
2,I05,292268,
2,I06,475119,
2,I07,299973,
2,I08,375776,
2,I09,305533,
2,I10,176983,
2,I11,164485,
2,I12,285905,
2,I13,285401,
2,I14,496503,
2,I15,402938,
2,I16,287640,
2,I17,311571,
2,I18,346882,
2,I19,388630,
2,I20,617301,
2,I21,384584,
2,I22,605363,
2,I23,549788,
2,I24,696813,
2,J01,533703,
2,J02,613410,
2,J03,687909,
2,J04,333501,
2,J05,268467,
2,J06,302108,
2,J07,416037,
2,J08,222566,
2,J09,302834,
2,J10,331310,
2,J11,388610,
2,J12,326254,
2,J13,446852,
2,J14,318506,
2,J15,376965,
2,J16,448246,
2,J17,479447,
2,J18,353057,
2,J19,410987,
2,J20,290219,
2,J21,242492,
2,J22,357957,
2,J23,539228,
2,J24,540731,
2,K01,688964,
2,K02,670466,
2,K03,147010,
2,K04,326618,
2,K05,604304,
2,K06,500088,
2,K07,582419,
2,K08,502120,
2,K09,309739,
2,K10,214789,
2,K11,192665,
2,K12,351264,
2,K13,340631,
2,K14,403407,
2,K15,316379,
2,K16,570298,
2,K17,441645,
2,K18,368402,
2,K19,522785,
2,K20,367208,
2,K21,685812,
2,K22,571567,
2,K23,657109,
2,K24,697858,
2,L01,600902,
2,L02,133262,
2,L03,560900,
2,L04,400673,
2,L05,389309,
2,L06,466124,
2,L07,433611,
2,L08,320617,
2,L09,341475,
2,L10,329935,
2,L11,250331,
2,L12,386021,
2,L13,36663,
2,L14,177046,
2,L15,463452,
2,L16,257167,
2,L17,526268,
2,L18,363084,
2,L19,395620,
2,L20,374585,
2,L21,315133,
2,L22,634334,
2,L23,487342,
2,L24,683197,
2,M01,691572,
2,M02,672732,
2,M03,156902,
2,M04,196948,
2,M05,414024,
2,M06,502584,
2,M07,498675,
2,M08,666636,
2,M09,563101,
2,M10,221880,
2,M11,191552,
2,M12,577573,
2,M13,561205,
2,M14,685294,
2,M15,545334,
2,M16,681108,
2,M17,553025,
2,M18,584024,
2,M19,591264,
2,M20,436708,
2,M21,656422,
2,M22,568333,
2,M23,686862,
2,M24,681638,
2,N01,695762,
2,N02,647052,
2,N03,426472,
2,N04,518715,
2,N05,270565,
2,N06,457616,
2,N07,554808,
2,N08,510593,
2,N09,535352,
2,N10,482947,
2,N11,636008,
2,N12,556080,
2,N13,418869,
2,N14,601330,
2,N15,641644,
2,N16,601622,
2,N17,489549,
2,N18,81902,
2,N19,499820,
2,N20,334873,
2,N21,372945,
2,N22,335585,
2,N23,680585,
2,N24,699948,
2,O01,676084,
2,O02,691579,
2,O03,673780,
2,O04,673218,
2,O05,679479,
2,O06,682149,
2,O07,702571,
2,O08,692989,
2,O09,686346,
2,O10,643040,
2,O11,681633,
2,O12,677922,
2,O13,686345,
2,O14,690001,
2,O15,680582,
2,O16,687914,
2,O17,681632,
2,O18,686337,
2,O19,690008,
2,O20,651627,
2,O21,686867,
2,O22,680065,
2,O23,684252,
2,O24,686339,
2,P01,680061,
2,P02,686862,
2,P03,683719,
2,P04,687388,
2,P05,693677,
2,P06,693147,
2,P07,683722,
2,P08,692096,
2,P09,688432,
2,P10,689489,
2,P11,686346,
2,P12,680064,
2,P13,683200,
2,P14,683201,
2,P15,688438,
2,P16,696293,
2,P17,683200,
2,P18,688961,
2,P19,686871,
2,P20,695237,
2,P21,676917,
2,P22,695771,
2,P23,687910,
2,P24,683202,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
3,A01,684252,
3,A02,691064,
3,A03,683732,
3,A04,691588,
3,A05,684775,
3,A06,686351,
3,A07,680594,
3,A08,676921,
3,A09,684253,
3,A10,684256,
3,A11,695768,
3,A12,677450,
3,A13,686353,
3,A14,682679,
3,A15,689494,
3,A16,682162,
3,A17,683209,
3,A18,694725,
3,A19,682681,
3,A20,680071,
3,A21,682685,
3,A22,691573,
3,A23,695249,
3,A24,682159,
3,B01,688973,
3,B02,683731,
3,B03,685316,
3,B04,676928,
3,B05,692104,
3,B06,681632,
3,B07,408443,
3,B08,690023,
3,B09,639766,
3,B10,682688,
3,B11,408429,
3,B12,672988,
3,B13,693156,
3,B14,687917,
3,B15,653783,
3,B16,667410,
3,B17,453040,
3,B18,407985,
3,B19,618856,
3,B20,688972,
3,B21,684256,
3,B22,680070,
3,B23,688972,
3,B24,682688,
3,C01,684251,
3,C02,677446,
3,C03,99356,
3,C04,170507,
3,C05,459412,
3,C06,528396,
3,C07,508186,
3,C08,395147,
3,C09,596684,
3,C10,211128,
3,C11,337208,
3,C12,416823,
3,C13,679249,
3,C14,683730,
3,C15,545253,
3,C16,401362,
3,C17,603399,
3,C18,481383,
3,C19,385389,
3,C20,423183,
3,C21,634764,
3,C22,641378,
3,C23,693153,
3,C24,679022,
3,D01,684252,
3,D02,650384,
3,D03,648214,
3,D04,489194,
3,D05,514078,
3,D06,368501,
3,D07,412778,
3,D08,340178,
3,D09,406678,
3,D10,575485,
3,D11,577441,
3,D12,480342,
3,D13,626253,
3,D14,484301,
3,D15,416975,
3,D16,244659,
3,D17,448925,
3,D18,373875,
3,D19,403660,
3,D20,351873,
3,D21,380861,
3,D22,570164,
3,D23,695251,
3,D24,693670,
3,E01,685300,
3,E02,682687,
3,E03,169313,
3,E04,161074,
3,E05,688965,
3,E06,415622,
3,E07,612193,
3,E08,666268,
3,E09,577538,
3,E10,195136,
3,E11,277480,
3,E12,350845,
3,E13,485367,
3,E14,628712,
3,E15,625357,
3,E16,437875,
3,E17,452356,
3,E18,685830,
3,E19,420948,
3,E20,520152,
3,E21,497837,
3,E22,686868,
3,E23,691580,
3,E24,693685,
3,F01,679018,
3,F02,605377,
3,F03,549740,
3,F04,532316,
3,F05,684612,
3,F06,362797,
3,F07,461575,
3,F08,282751,
3,F09,266542,
3,F10,299009,
3,F11,452322,
3,F12,459111,
3,F13,624356,
3,F14,295915,
3,F15,447346,
3,F16,407806,
3,F17,399164,
3,F18,403916,
3,F19,438890,
3,F20,475419,
3,F21,478183,
3,F22,684782,
3,F23,687918,
3,F24,687398,
3,G01,687392,
3,G02,623370,
3,G03,115462,
3,G04,195072,
3,G05,424354,
3,G06,310932,
3,G07,335123,
3,G08,391159,
3,G09,421807,
3,G10,145530,
3,G11,114133,
3,G12,324943,
3,G13,327103,
3,G14,492319,
3,G15,322286,
3,G16,329768,
3,G17,316299,
3,G18,490171,
3,G19,374859,
3,G20,503620,
3,G21,443422,
3,G22,666964,
3,G23,684258,
3,G24,696293,
3,H01,698393,
3,H02,184215,
3,H03,620529,
3,H04,342791,
3,H05,602634,
3,H06,259377,
3,H07,257134,
3,H08,265765,
3,H09,609618,
3,H10,315740,
3,H11,439606,
3,H12,374296,
3,H13,387508,
3,H14,225216,
3,H15,267461,
3,H16,215814,
3,H17,290270,
3,H18,318076,
3,H19,484489,
3,H20,346485,
3,H21,385196,
3,H22,408746,
3,H23,481726,
3,H24,686867,
3,I01,691056,
3,I02,592014,
3,I03,107361,
3,I04,217018,
