Well,V_pl_1,V_pl_2,V_pl_3,CBD_pl_1,CBD_pl_2,CBD_pl_3,veh,cbd,fr_change,log_fr_change,cbd_sd,veh_sd
A01,600825,674985,642275,565350,608960,553472,639361.6666666666,575927.3333333334,0.9007848974367665,-0.151,29217.110078399837,37165.73735758963
A02,626224,656332,626259,549986,593852,582851,636271.6666666666,575563,0.9045868771986809,-0.145,22823.073785097396,17372.76708913503
A03,656175,659249,585201,509763,584886,601179,633541.6666666666,565276,0.8922475501479777,-0.164,48761.00223539299,41892.45050523224
A04,634264,638085,643299,510493,608508,565339,638549.3333333334,561446.6666666666,0.8792533910196444,-0.186,49123.29132227739,4535.362205307679
A05,619823,645387,668980,561472,533844,594991,644730,563435.6666666666,0.8739094918286207,-0.194,30620.75917304033,24585.084889013502
A06,589283,638707,677829,526397,577945,589533,635273,564625,0.8887911181492052,-0.17,33609.60315148038,44372.77088485685
A07,648813,603327,653589,493053,470525,593799,635243,519125.6666666667,0.8172080080641057,-0.291,65642.65175427737,27743.032206303622
A08,659808,651079,674047,539200,583931,591070,661644.6666666666,571400.3333333334,0.8636060443319528,-0.212,28113.82987665205,11593.630334512713
A09,656614,639159,637440,525521,556470,502116,644404.3333333334,528035.6666666666,0.8194166912802675,-0.287,27264.115432805324,10608.75630473871
A10,646664,647111,653841,550034,563103,602174,649205.3333333334,571770.3333333334,0.8807234074889506,-0.183,27129.078501367003,4020.821599292032
A11,495441,602004,637702,520821,598351,568789,578382.3333333334,562653.6666666666,0.9728057622783544,-0.04,39127.445116354495,74013.75130564139
A12,598535,693611,655867,378653,586500,534423,649337.6666666666,499858.6666666667,0.7697977374894316,-0.377,108148.57237307081,47873.11969501605
A13,630792,660635,682671,515152,512647,474767,658032.6666666666,500855.3333333333,0.7611405310172038,-0.394,22627.850280867013,26037.21882869469
A14,618613,625063,679574,469686,573582,583675,641083.3333333334,542314.3333333334,0.8459342259196673,-0.241,63100.10510556487,33489.53852075799
A15,641603,668196,659764,497988,512428,530727,656521,513714.3333333333,0.7824796668093379,-0.354,16407.361772489,13589.874870652784
A16,679270,684786,680578,546808,587603,601110,681544.6666666666,578507,0.8488174411655094,-0.236,28270.651089071154,2882.2555981961996
A17,674186,683734,619279,559859,542873,600831,659066.3333333334,567854.3333333334,0.8616042188975415,-0.215,29794.738752560548,34785.98850591044
A18,668937,664810,685287,506476,620156,631594,673011.3333333334,586075.3333333334,0.8708253550955556,-0.2,69171.86827991082,10829.4518020689
A19,470611,680549,624238,556510,564859,566709,591799.3333333334,562692.6666666666,0.9508166619541082,-0.073,5433.659018868715,108663.20114157016
A20,608506,437177,660167,546922,560628,619276,568616.6666666666,575608.6666666666,1.0122965090717237,0.018,38432.936517176684,116724.05155036958
A21,640599,649922,646707,432135,566229,539563,645742.6666666666,512642.3333333333,0.7938802247334852,-0.333,70984.8006923548,4735.719199164298
A22,452186,681113,662222,539725,568687,621047,598507,576486.3333333334,0.9632073364778246,-0.054,41218.18920492909,127069.24785722153
A23,422293,663775,669752,553503,513654,615388,585273.3333333334,560848.3333333334,0.9582673622580903,-0.061,51263.214202128736,141176.74356045097
A24,537820,608196,694195,558721,542629,609119,613403.6666666666,570156.3333333334,0.9294961284330983,-0.105,34688.6892420762,78317.4629334565
B01,633022,654866,604957,495150,472389,493819,630948.3333333334,487119.3333333333,0.7720431414088316,-0.373,12774.190006937166,25019.03555961607
B02,473666,369107,358824,461581,519987,414343,400532.3333333333,465303.6666666667,1.161713120122637,0.216,52920.29260438129,63543.96054963314
B03,403216,273158,278156,351065,546926,384610,318176.6666666667,427533.6666666667,1.343698993221795,0.426,104748.33507189188,73688.60944089889
B04,283000,536968,287692,221441,478006,175004,369220,291483.6666666667,0.7894579564126176,-0.341,163193.24240400805,145292.97073155327
B05,249661,316853,311986,242576,350302,319672,292833.3333333333,304183.3333333333,1.0387592487194082,0.055,55508.079279806945,37467.448489766866
B06,197939,512291,488125,181282,249510,332252,399451.6666666667,254348,0.6367428683486946,-0.651,75601.18985836135,174932.88715771353
B07,85369,88767,122135,67931,110747,46978,98757,75218.66666666667,0.7616540262124879,-0.393,32503.136838362745,20317.105207189335
B08,265790,231937,589944,211197,312476,359590,362557,294421,0.8120681713496085,-0.3,75826.16884031528,197649.03801688488
B09,239724,278803,346572,478811,387667,469984,288366.3333333333,445487.3333333333,1.5448659633174933,0.627,50268.00366369579,54062.15667482508
B10,287732,285453,420528,435570,477698,306768,331237.6666666667,406678.6666666667,1.2277548950250223,0.296,89052.2210915221,77336.09235236373
B11,190004,234442,223515,205838,154950,180007,215987,180265,0.8346104163676518,-0.261,25444.981017874627,23155.713096339747
B12,164885,236229,153690,210177,201077,160554,184934.66666666666,190602.66666666666,1.0306486615092898,0.044,26417.68870157519,44773.468486742604
B13,289250,545486,304688,292344,367154,481601,379808,380366.3333333333,1.0014700410031734,0.002,95317.77025472917,143688.83994242558
B14,284338,314331,371779,273996,320264,310933,323482.6666666667,301731,0.9327578602872075,-0.1,24468.13354140442,44433.060578057564
B15,373785,278283,552672,204416,356455,292928,401580,284599.6666666667,0.708699802447001,-0.497,76360.88810597565,139290.17319610168
B16,308733,245033,284891,258398,302905,373220,279552.3333333333,311507.6666666667,1.114308948712048,0.156,57892.377100386315,32183.823907878526
B17,354350,320311,320974,239808,492073,480076,331878.3333333333,403985.6666666667,1.2172703852315359,0.284,142308.5087980804,19463.85738576332
B18,626991,286464,383359,221555,191504,178519,432271.3333333333,197192.66666666666,0.4561779869742307,-1.132,22074.759802392717,175453.6169371647
B19,215284,265774,248178,278278,291670,474883,243078.66666666666,348277,1.43277484929433,0.519,109848.28557150994,25628.35198239117
B20,400186,306301,324692,302131,446689,554801,343726.3333333333,434540.3333333333,1.2642043718888767,0.338,126772.33452663611,49752.66515809312
B21,318563,412794,614320,383271,378405,535963,448559,432546.3333333333,0.964301983313975,-0.052,89594.50149051187,151087.3991469838
B22,287017,298641,329189,416400,366870,363946,304949,382405.3333333333,1.2539976629972005,0.327,29476.5239696497,21782.16114163147
B23,376395,482360,350655,513491,491201,501536,403136.6666666667,502076,1.2454238016884265,0.317,11154.807259652674,69806.08360546618
B24,519701,672496,626516,528830,512722,565694,606237.6666666666,535748.6666666666,0.8837271191221484,-0.178,27155.278627429572,78389.96178295619
C01,686219,449178,621761,385936,398669,525858,585719.3333333334,436821,0.7457855241247514,-0.423,77370.68468741892,122561.65885925881
C02,271673,422999,286494,236549,555750,578260,327055.3333333333,456853,1.3968676044624457,0.482,191120.5492274444,83419.45750442958
C03,120576,150945,124813,110318,128469,116041,132111.33333333334,118276,0.8952751971821745,-0.16,9279.607696449242,16447.440297302597
C04,54633,55713,64250,50602,55219,60933,58198.666666666664,55584.666666666664,0.9550848816696832,-0.066,5175.197999432808,5268.356131976399
C05,245416,222429,249671,207819,251481,316925,239172,258741.66666666666,1.0818225656291984,0.113,54914.185501865846,14655.111497358183
C06,254273,259337,503803,184636,382027,279080,339137.6666666667,281914.3333333333,0.8312681280856445,-0.267,98726.01888222442,142626.8383767001
C07,298854,253479,295699,218631,268824,282958,282677.3333333333,256804.33333333334,0.9084716142787066,-0.138,33805.99092370069,25335.656856164856
C08,235140,346155,224587,190222,224949,263934,268627.3333333333,226368.33333333334,0.8426854055556522,-0.247,36876.491377750855,67347.94559846152
C09,201465,231882,538510,175213,250459,192209,323952.3333333333,205960.33333333334,0.6357735757421102,-0.653,39462.824345620946,186433.7488662751
C10,130947,79676,64264,83144,100956,67608,91629,83902.66666666667,0.9156780786286729,-0.127,16686.93972342842,34911.477754457774
C11,54136,56604,52804,51217,49472,58885,54514.666666666664,53191.333333333336,0.9757251871056108,-0.035,5007.458071050954,1928.0926672059445
C12,248609,282371,252848,299142,284070,302897,261276,295369.6666666667,1.130489086891512,0.177,9964.279017236186,18391.344404365875
