Well,V_pl_1,V_pl_2,CBD_pl_1,CBD_pl_2,veh,cbd,fr_change,log_fr_change
A01,643333,467384,546701,560288,555358.5,553494.5,0.9966436094882855,-0.005
A02,660703,443974,659994,497220,552338.5,578607,1.0475586981533969,0.067
A03,474959,527678,579170,576551,501318.5,577860.5,1.1526813792030415,0.205
A04,486912,550053,559772,502311,518482.5,531041.5,1.024222611177812,0.035
A05,457182,498076,569575,495673,477629,532624,1.1151416685335271,0.157
A06,530919,503490,528251,517253,517204.5,522752,1.0107259314255772,0.015
A07,482622,427197,501191,501631,454909.5,501411,1.1022214308560274,0.14
A08,499183,431909,576450,409258,465546,492854,1.058658005868378,0.082
A09,513133,391295,567005,412177,452214,489591,1.0826533455399434,0.115
A10,544150,426411,538237,527988,485280.5,533112.5,1.0985656749034836,0.136
A11,503904,563415,621221,527289,533659.5,574255,1.0760700409156025,0.106
A12,524887,437514,592936,589161,481200.5,591048.5,1.228279064547938,0.297
A13,583566,464295,669089,519890,523930.5,594489.5,1.1346724422418621,0.182
A14,555127,407695,521108,514220,481411,517664,1.0753057159059514,0.105
A15,548071,407160,592274,513098,477615.5,552686,1.1571776879100448,0.211
A16,506411,387173,517862,420920,446792,469391,1.0505805833586994,0.071
A17,480424,392465,586131,493194,436444.5,539662.5,1.2364974240711017,0.306
A18,505097,475478,601465,507555,490287.5,554510,1.1309894704637584,0.178
A19,546406,471410,555940,555468,508908,555704,1.0919537519551668,0.127
A20,486440,396720,498866,486077,441580,492471.5,1.1152486525657865,0.157
A21,489249,401770,530269,498425,445509.5,514347,1.1545141012705677,0.207
A22,626176,351808,630860,468903,488992,549881.5,1.1245204420522217,0.169
A23,479195,464295,525572,494851,471745,510211.5,1.0815408748370412,0.113
A24,649511,424828,492772,447868,537169.5,470320,0.8755523163545212,-0.192
B01,622570,535389,642902,387749,578979.5,515325.5,0.890058283583443,-0.168
B02,405816,323877,586601,348860,364846.5,467730.5,1.2819925639960914,0.358
B03,332960,438860,364062,441143,385910,402602.5,1.0432549039931591,0.061
B04,346407,390291,363012,263001,368349,313006.5,0.8497552592785647,-0.235
B05,311494,369902,405251,267834,340698,336542.5,0.9878029809391309,-0.018
B06,271136,237455,299876,333152,254295.5,316514,1.2446700787076452,0.316
B07,83347,83163,90257,80895,83255,85576,1.0278782055131823,0.04
B08,335755,416810,355489,325176,376282.5,340332.5,0.9044600798602114,-0.145
B09,395203,328007,465489,244639,361605,355064,0.981911201449095,-0.026
B10,391280,304617,383830,252609,347948.5,318219.5,0.9145591948233719,-0.129
B11,199417,252867,274914,141465,226142,208189.5,0.9206140389666669,-0.119
B12,197585,261915,283486,178994,229750,231240,1.0064853101196953,0.009
B13,361936,379811,383248,272922,370873.5,328085,0.8846277773957967,-0.177
B14,412041,302391,385518,354071,357216,369794.5,1.035212588461883,0.05
B15,299156,166585,365211,205561,232870.5,285386,1.225513751205069,0.293
B16,377203,288003,324922,264808,332603,294865,0.8865374034509611,-0.174
B17,359741,263526,385734,266336,311633.5,326035,1.046212939237919,0.065
B18,301006,336435,409538,164312,318720.5,286925,0.9002401790910846,-0.152
B19,270726,336958,366570,193854,303842,280212,0.922229316552682,-0.117
B20,364310,258450,404158,251206,311380,327682,1.0523540368681354,0.074
B21,368937,302223,356785,326660,335580,341722.5,1.0183041301627034,0.026
B22,404497,290059,367663,167293,347278,267478,0.770212912997656,-0.377
B23,504295,361424,495887,395890,432859.5,445888.5,1.0300998360900016,0.043
B24,582287,401339,571115,415866,491813,493490.5,1.0034108492455467,0.005
C01,610635,496932,551286,531503,553783.5,541394.5,0.9776284414396601,-0.033
C02,374074,364869,387223,447572,369471.5,417397.5,1.1297150118480046,0.176
C03,372541,329722,397725,465121,351131.5,431423,1.2286650442925229,0.297
C04,362622,309895,336870,416668,336258.5,376769,1.1204742779736423,0.164
C05,399322,306990,303250,414498,353156,358874,1.0161911449897496,0.023
C06,359907,286677,340337,415938,323292,378137.5,1.169646944557861,0.226
C07,320170,388564,410770,437560,354367,424165,1.1969652930436525,0.259
C08,264990,362948,346313,400189,313969,373251,1.1888148192974466,0.25
C09,332435,297030,383745,339288,314732.5,361516.5,1.1486468667836973,0.2
C10,414832,277262,372986,419694,346047,396340,1.1453357491901388,0.196
C11,288031,296379,318089,346910,292205,332499.5,1.137898051025821,0.186
C12,358104,330466,396748,362315,344285,379531.5,1.1023759385392915,0.141
C13,344778,284116,376983,305541,314447,341262,1.0852766920975554,0.118
C14,336543,407425,366977,302169,371984,334573,0.8994284700417222,-0.153
C15,325925,253261,413693,277294,289593,345493.5,1.1930312542084927,0.255
C16,299587,270312,384353,292703,284949.5,338528,1.1880280540937955,0.249
C17,283666,243368,372781,386095,263517,379438,1.4398995131243904,0.526
C18,357147,264468,424081,351630,310807.5,387855.5,1.2478962058508885,0.319
C19,333257,311184,338493,297115,322220.5,317804,0.9862935474310294,-0.02
C20,347268,253334,281815,323322,300301,302568.5,1.0075507574067353,0.011
C21,318391,241851,328611,312087,280121,320349,1.1436093688084792,0.194
C22,383255,258343,386839,343185,320799,365012,1.13782150193735,0.186
C23,451131,332922,394100,425564,392026.5,409832,1.0454191234521135,0.064
C24,639773,436175,525162,464802,537974,494982,0.9200853572849246,-0.12
D01,663834,520723,541643,429106,592278.5,485374.5,0.8195038313901315,-0.287
D02,323395,280908,466928,347860,302151.5,407394,1.3483103674812138,0.431
D03,296828,380638,378344,331662,338733,355003,1.0480319307537205,0.068
D04,266436,344180,290715,229700,305308,260207.5,0.852278682510776,-0.231
D05,175968,123274,278844,148448,149621,213646,1.4279145307142713,0.514
D06,170777,146548,193616,239869,158662.5,216742.5,1.3660600330891042,0.45
D07,177816,182386,253465,222596,180101,238030.5,1.3216500741250743,0.402
D08,63189,69597,67816,68979,66393,68397.5,1.0301914358441402,0.043
D09,264193,250624,309116,188916,257408.5,249016,0.9673961815557761,-0.048
D10,263290,249511,302947,214794,256400.5,258870.5,1.0096333665495971,0.014
D11,301423,302178,274673,240972,301800.5,257822.5,0.8542812221981076,-0.227
D12,232995,266901,243568,202295,249948,222931.5,0.8919115175956599,-0.165
D13,262768,275879,281896,235335,269323.5,258615.5,0.9602411226647507,-0.059
D14,182257,121937,257441,151414,152097,204427.5,1.3440600406319652,0.427
D15,287117,257806,301767,343333,272461.5,322550,1.183836982472753,0.243
D16,67780,54753,65483,61432,61266.5,63457.5,1.0357617947818138,0.051
D17,97911,267102,295306,74676,182506.5,184991,1.0136132137759477,0.02
D18,293993,312680,270066,220810,303336.5,245438,0.809127816797517,-0.306
D19,284373,300163,277649,221110,292268,249379.5,0.8532562579550276,-0.229
D20,176877,141386,247119,120916,159131.5,184017.5,1.156386384845238,0.21
D21,270943,212861,270338,221815,241902,246076.5,1.01725698836719,0.025
D22,213466,198663,264663,135232,206064.5,199947.5,0.970315119780457,-0.043
D23,383726,323519,363083,265754,353622.5,314418.5,0.8891360136869119,-0.17
D24,669591,330367,485316,394346,499979,439831,0.8796989473557889,-0.185
E01,515676,432863,568435,473461,474269.5,520948,1.0984218888205968,0.135
E02,357330,325996,411582,383183,341663,397382.5,1.1630832135759506,0.218
E03,295956,275076,285603,384817,285516,335210,1.174049790554645,0.231
E04,360051,359758,267407,378968,359904.5,323187.5,0.8979812700313555,-0.155
E05,275771,199070,226556,330908,237420.5,278732,1.1740014025747565,0.231
E06,315955,319668,293313,251857,317811.5,272585,0.8576939475129125,-0.221
E07,326471,342705,304186,333920,334588,319053,0.9535697634105228,-0.069
E08,354259,456773,314252,366980,405516,340616,0.839956993065625,-0.252
E09,312174,285676,347663,319371,298925,333517,1.1157213347829724,0.158
E10,375666,290355,270186,331402,333010.5,300794,0.9032568042148821,-0.147
E11,365457,284979,279222,333374,325218,306298,0.9418236382980032,-0.086
E12,346108,340838,309422,357559,343473,333490.5,0.9709365801678734,-0.043
E13,324252,318477,325835,330171,321364.5,328003,1.0206572287853823,0.029
E14,381191,436297,363319,308334,408744,335826.5,0.8216059440627874,-0.283
E15,329693,333363,334559,237994,331528,286276.5,0.8635062498491832,-0.212
E16,368661,419163,293205,245123,393912,269164,0.683309977863076,-0.549
E17,320310,297742,288451,236090,309026,262270.5,0.8487004329732774,-0.237
E18,309015,383053,361702,312414,346034,337058,0.9740603524509153,-0.038
E19,332444,270986,340220,273542,301715,306881,1.0171221185555905,0.024
E20,327347,340886,313631,284154,334116.5,298892.5,0.8945756944059932,-0.161
E21,313789,266623,284665,323112,290206,303888.5,1.047147543469122,0.066
E22,396469,321162,383273,273274,358815.5,328273.5,0.9148810461086547,-0.128
E23,397870,312767,348425,412824,355318.5,380624.5,1.0712206091154837,0.099
E24,551083,513789,583493,601362,532436,592427.5,1.112673635892389,0.154
F01,434397,375969,482776,310991,405183,396883.5,0.9795166628412347,-0.03
F02,439240,144686,325589,347009,291963,336299,1.1518548583210886,0.204
F03,450745,341417,331442,430410,396081,380926,0.96173762437481225,-0.056
F04,298392,278941,223377,292485,288666.5,257931,0.8935259200496074,-0.162
F05,340842,298944,308081,274475,319893,291278,0.9105482145592433,-0.135
F06,304671,213344,249993,340321,259007.5,295157,1.1395693174908061,0.188
F07,349977,215764,269207,254729,282870.5,261968,0.9261057621773922,-0.111
F08,200777,242355,258392,238825,221566,248608.5,1.1220516685773088,0.166
F09,157747,119242,118377,63839,138494.5,91108,0.6578456184180599,-0.604
